Title,Job Zone,Description,Domain,O*NET-SOC Code,spanish_title,spanish_description,spanish_domain
Food Service Managers,2,"Plan, direct, or coordinate activities of an organization or department that serves food and beverages.",Management Occupations,11-9051.00,Gerentes de servicio de alimentos,"Planifique, dirija o coordine actividades de una organización o departamento que sirva alimentos y bebidas.",Ocupaciones gerenciales
Gambling Managers,3,"Plan, direct, or coordinate gambling operations in a casino. May formulate house rules.",Management Occupations,11-9071.00,Gerentes de juego,"Planifique, dirija o coordine las operaciones de juego en un casino. Puede formular las reglas de la casa.",Ocupaciones gerenciales
"Entertainment and Recreation Managers, Except Gambling",4,"Plan, direct, or coordinate entertainment and recreational activities and operations of a recreational facility, including cruise ships and parks.",Management Occupations,11-9072.00,"Gerentes de entretenimiento y recreación, excepto el juego","Planifique, dirija o coordine las actividades y operaciones recreativas y de entretenimiento de una instalación recreativa, incluidos cruceros y parques.",Ocupaciones gerenciales
Lodging Managers,4,"Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations.",Management Occupations,11-9081.00,Gerentes de alojamiento,"Planifique, dirija o coordine actividades de una organización o departamento que proporcione alojamiento y otros alojamientos.",Ocupaciones gerenciales
Medical and Health Services Managers,4,"Plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations.",Management Occupations,11-9111.00,Gerentes de servicios médicos y de salud,"Planifique, dirija o coordine los servicios médicos y de salud en hospitales, clínicas, organizaciones de atención administrada, agencias de salud pública o organizaciones similares.",Ocupaciones gerenciales
Natural Sciences Managers,5,"Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields.",Management Occupations,11-9121.00,Gerentes de ciencias naturales,"Planifique, dirija o coordine actividades en campos como ciencias de la vida, ciencias físicas, matemáticas, estadísticas e investigación y desarrollo en estos campos.",Ocupaciones gerenciales
Clinical Research Coordinators,4,"Plan, direct, or coordinate clinical research projects. Direct the activities of workers engaged in clinical research projects to ensure compliance with protocols and overall clinical objectives. May evaluate and analyze clinical data.",Management Occupations,11-9121.01,Coordinadores de investigación clínica,"Planifique, dirija o coordine proyectos de investigación clínica. Dirija las actividades de los trabajadores que participan en proyectos de investigación clínica para garantizar el cumplimiento de los protocolos y los objetivos clínicos generales. Puede evaluar y analizar datos clínicos.",Ocupaciones gerenciales
Water Resource Specialists,4,"Design or implement programs and strategies related to water resource issues such as supply, quality, and regulatory compliance issues.",Management Occupations,11-9121.02,Especialistas en recursos acuáticos,"Diseñe o implementen programas y estrategias relacionadas con problemas de recursos hídricos como el suministro, la calidad y los problemas de cumplimiento regulatorio.",Ocupaciones gerenciales
Postmasters and Mail Superintendents,2,"Plan, direct, or coordinate operational, administrative, management, and support services of a U.S. post office; or coordinate activities of workers engaged in postal and related work in assigned post office.",Management Occupations,11-9131.00,Postmasters y superintendentes de correo,"Planificar, dirigir o coordinar servicios operativos, administrativos, administrativos y de apoyo de una oficina de correos de EE. UU.; o coordinar actividades de trabajadores que participan en el trabajo postal y relacionado en la oficina de correos asignada.",Ocupaciones gerenciales
"Property, Real Estate, and Community Association Managers",4,"Plan, direct, or coordinate the selling, buying, leasing, or governance activities of commercial, industrial, or residential real estate properties. Includes managers of homeowner and condominium associations, rented or leased housing units, buildings, or land (including rights-of-way).",Management Occupations,11-9141.00,"Gerentes de asociación de propiedades, bienes raíces y comunitarios","Planifique, dirija o coordine las actividades de venta, compra, arrendamiento o gobernanza de propiedades inmobiliarias comerciales, industriales o residenciales. Incluye gerentes de asociaciones de propietarios y condominios, unidades de vivienda alquiladas o arrendadas, edificios o tierras (incluidos los derechos de paso).",Ocupaciones gerenciales
Social and Community Service Managers,4,"Plan, direct, or coordinate the activities of a social service program or community outreach organization. Oversee the program or organization's budget and policies regarding participant involvement, program requirements, and benefits. Work may involve directing social workers, counselors, or probation officers.",Management Occupations,11-9151.00,Gerentes de servicios sociales y comunitarios,"Planifique, dirija o coordine las actividades de un programa de servicio social o organización de divulgación comunitaria. Supervisar el presupuesto y las políticas del programa u organización con respecto a la participación de los participantes, los requisitos del programa y los beneficios. El trabajo puede implicar dirigir trabajadores sociales, consejeros o oficiales de libertad condicional.",Ocupaciones gerenciales
Emergency Management Directors,4,"Plan and direct disaster response or crisis management activities, provide disaster preparedness training, and prepare emergency plans and procedures for natural (e.g., hurricanes, floods, earthquakes), wartime, or technological (e.g., nuclear power plant emergencies or hazardous materials spills) disasters or hostage situations.",Management Occupations,11-9161.00,Directores de gestión de emergencias,"Plan y la respuesta directa a desastres o actividades de gestión de crisis, brindan capacitación en preparación para desastres y preparan planes y procedimientos de emergencia para los naturales (por ejemplo, huracanes, inundaciones, terremotos), tiempos de guerra o tecnológicos (por ejemplo, emergencias de la planta de energía nuclear o derrames de materiales peligrosos) desastres) o situaciones de rehenes.",Ocupaciones gerenciales
Funeral Home Managers,3,"Plan, direct, or coordinate the services or resources of funeral homes. Includes activities such as determining prices for services or merchandise and managing the facilities of funeral homes.",Management Occupations,11-9171.00,Gerentes de funda funerarios,"Planifique, dirija o coordine los servicios o recursos de las funerales. Incluye actividades como determinar los precios de los servicios o la mercancía y la gestión de las instalaciones de las funerales.",Ocupaciones gerenciales
Fitness and Wellness Coordinators,4,"Manage or coordinate fitness and wellness programs and services. Manage and train staff of wellness specialists, health educators, or fitness instructors.",Management Occupations,11-9179.01,Coordinadores de fitness y bienestar,"Administrar o coordinar programas y servicios de aptitud física y bienestar. Gestionar y capacitar al personal de especialistas en bienestar, educadores de salud o instructores de acondicionamiento físico.",Ocupaciones gerenciales
Spa Managers,3,"Plan, direct, or coordinate activities of a spa facility. Coordinate programs, schedule and direct staff, and oversee financial activities.",Management Occupations,11-9179.02,Gerentes de spa,"Planifique, dirija o coordine las actividades de una instalación de spa. Coordinar programas, programar y dirigir personal, y supervisar las actividades financieras.",Ocupaciones gerenciales
Regulatory Affairs Managers,4,"Plan, direct, or coordinate production activities of an organization to ensure compliance with regulations and standard operating procedures.",Management Occupations,11-9199.01,Gerentes de Asuntos Regulatorios,"Planifique, dirija o coordine las actividades de producción de una organización para garantizar el cumplimiento de las regulaciones y los procedimientos operativos estándar.",Ocupaciones gerenciales
Compliance Managers,4,"Plan, direct, or coordinate activities of an organization to ensure compliance with ethical or regulatory standards.",Management Occupations,11-9199.02,Gerentes de cumplimiento,"Planifique, dirija o coordine las actividades de una organización para garantizar el cumplimiento de los estándares éticos o regulatorios.",Ocupaciones gerenciales
Loss Prevention Managers,4,"Plan and direct policies, procedures, or systems to prevent the loss of assets. Determine risk exposure or potential liability, and develop risk control measures.",Management Occupations,11-9199.08,Gerentes de prevención de pérdidas,"Planifique y dirija las políticas, procedimientos o sistemas para evitar la pérdida de activos. Determine la exposición al riesgo o la responsabilidad potencial y desarrolle medidas de control de riesgos.",Ocupaciones gerenciales
Wind Energy Operations Managers,3,"Manage wind field operations, including personnel, maintenance activities, financial activities, and planning.",Management Occupations,11-9199.09,Gerentes de operaciones de energía eólica,"Administre las operaciones de campo eólico, incluidos el personal, las actividades de mantenimiento, las actividades financieras y la planificación.",Ocupaciones gerenciales
Wind Energy Development Managers,4,"Lead or manage the development and evaluation of potential wind energy business opportunities, including environmental studies, permitting, and proposals. May also manage construction of projects.",Management Occupations,11-9199.10,Gerentes de desarrollo de energía eólica,"Lidere o administre el desarrollo y la evaluación de posibles oportunidades comerciales de energía eólica, incluidos estudios ambientales, permisos y propuestas. También puede administrar la construcción de proyectos.",Ocupaciones gerenciales
Brownfield Redevelopment Specialists and Site Managers,4,Plan and direct cleanup and redevelopment of contaminated properties for reuse. Does not include properties sufficiently contaminated to qualify as Superfund sites.,Management Occupations,11-9199.11,Especialistas de reurbanización de Brownfield y gerentes de sitios,Planifique y la limpieza directa y la reurbanización de las propiedades contaminadas para la reutilización. No incluye propiedades suficientemente contaminadas como para calificar como sitios de Superfund.,Ocupaciones gerenciales
"Agents and Business Managers of Artists, Performers, and Athletes",4,"Represent and promote artists, performers, and athletes in dealings with current or prospective employers. May handle contract negotiation and other business matters for clients.",Business and Financial Operations Occupations,13-1011.00,"Agentes y gerentes de negocios de artistas, artistas y atletas","Representar y promover artistas, artistas y atletas en tratos con empleadores actuales o potenciales. Puede manejar la negociación del contrato y otros asuntos comerciales para los clientes.",Ocupaciones de operaciones comerciales y financieras
"Buyers and Purchasing Agents, Farm Products",4,"Purchase farm products either for further processing or resale. Includes tree farm contractors, grain brokers and market operators, grain buyers, and tobacco buyers. May negotiate contracts.",Business and Financial Operations Occupations,13-1021.00,"Compradores y agentes de compras, productos agrícolas","Compre productos agrícolas, ya sea para su posterior procesamiento o reventa. Incluye contratistas de granja de árboles, corredores de granos y operadores de mercado, compradores de granos y compradores de tabaco. Puede negociar contratos.",Ocupaciones de operaciones comerciales y financieras
"Wholesale and Retail Buyers, Except Farm Products",3,"Buy merchandise or commodities, other than farm products, for resale to consumers at the wholesale or retail level, including both durable and nondurable goods. Analyze past buying trends, sales records, price, and quality of merchandise to determine value and yield. Select, order, and authorize payment for merchandise according to contractual agreements. May conduct meetings with sales personnel and introduce new products. May negotiate contracts. Includes assistant wholesale and retail buyers of nonfarm products.",Business and Financial Operations Occupations,13-1022.00,"Compradores mayoristas y minoristas, excepto los productos agrícolas","Compre mercancías o productos básicos, aparte de los productos agrícolas, para reventa a los consumidores a nivel mayorista o minorista, incluidos los bienes duraderos y no duraderos. Analice las tendencias de compra anteriores, los registros de ventas, el precio y la calidad de la mercancía para determinar el valor y el rendimiento. Seleccione, ordene y autorice el pago de mercancías de acuerdo con los acuerdos contractuales. Puede realizar reuniones con el personal de ventas e introducir nuevos productos. Puede negociar contratos. Incluye asistentes al por mayor y a los compradores minoristas de productos no agrícolas.",Ocupaciones de operaciones comerciales y financieras
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",4,"Purchase machinery, equipment, tools, parts, supplies, or services necessary for the operation of an establishment. Purchase raw or semifinished materials for manufacturing. May negotiate contracts.",Business and Financial Operations Occupations,13-1023.00,"Agentes de compra, excepto los productos mayoristas, minoristas y agrícolas","Compre maquinaria, equipo, herramientas, piezas, suministros o servicios necesarios para la operación de un establecimiento. Compre materiales crudos o semifinisados ​​para la fabricación. Puede negociar contratos.",Ocupaciones de operaciones comerciales y financieras
"Claims Adjusters, Examiners, and Investigators",4,Review settled claims to determine that payments and settlements are made in accordance with company practices and procedures. Confer with legal counsel on claims requiring litigation. May also settle insurance claims.,Business and Financial Operations Occupations,13-1031.00,"Ajustadores de reclamos, examinadores e investigadores",Revisión de reclamos establecidos para determinar que los pagos y los acuerdos se realizan de acuerdo con las prácticas y procedimientos de la empresa. Conferir con asesor legal por reclamos que requieren litigios. También puede resolver reclamos de seguro.,Ocupaciones de operaciones comerciales y financieras
"Insurance Appraisers, Auto Damage",3,Appraise automobile or other vehicle damage to determine repair costs for insurance claim settlement. Prepare insurance forms to indicate repair cost or cost estimates and recommendations. May seek agreement with automotive repair shop on repair costs.,Business and Financial Operations Occupations,13-1032.00,"Evaluadores de seguros, daños por automóvil",Evalúe el automóvil u otro daño del vehículo para determinar los costos de reparación de la liquidación de reclamos de seguro. Prepare formularios de seguro para indicar estimaciones y recomendaciones de costos de reparación o costos. Puede buscar un acuerdo con el taller de reparación automotriz sobre los costos de reparación.,Ocupaciones de operaciones comerciales y financieras
Compliance Officers,3,"Examine, evaluate, and investigate eligibility for or conformity with laws and regulations governing contract compliance of licenses and permits, and perform other compliance and enforcement inspection and analysis activities not classified elsewhere.",Business and Financial Operations Occupations,13-1041.00,Oficiales de Cumplimiento,"Examine, evalúe e investigue la elegibilidad o la conformidad con las leyes y reglamentos que rigen el cumplimiento del contrato de licencias y permisos, y realicen otras actividades de inspección y análisis de cumplimiento y cumplimiento no clasificadas en otros lugares.",Ocupaciones de operaciones comerciales y financieras
Environmental Compliance Inspectors,4,"Inspect and investigate sources of pollution to protect the public and environment and ensure conformance with Federal, State, and local regulations and ordinances.",Business and Financial Operations Occupations,13-1041.01,Inspectores de cumplimiento ambiental,"Inspeccionar e investigar fuentes de contaminación para proteger al público y al medio ambiente y garantizar la conformidad con las regulaciones y ordenanzas federales, estatales y locales.",Ocupaciones de operaciones comerciales y financieras
Equal Opportunity Representatives and Officers,4,"Monitor and evaluate compliance with equal opportunity laws, guidelines, and policies to ensure that employment practices and contracting arrangements give equal opportunity without regard to race, religion, color, national origin, sex, age, or disability.",Business and Financial Operations Occupations,13-1041.03,Representantes y oficiales de igualdad de oportunidades,"Monitoree y evalúe el cumplimiento de las leyes, directrices y políticas de igualdad de oportunidades para garantizar que las prácticas de empleo y los acuerdos de contratación brinden la misma oportunidad sin tener en cuenta la raza, la religión, el color, el origen nacional, el sexo, la edad o la discapacidad.",Ocupaciones de operaciones comerciales y financieras
Government Property Inspectors and Investigators,3,Investigate or inspect government property to ensure compliance with contract agreements and government regulations.,Business and Financial Operations Occupations,13-1041.04,Inspectores e investigadores de propiedades gubernamentales,Investigue o inspeccione la propiedad del gobierno para garantizar el cumplimiento de los acuerdos contractuales y las regulaciones gubernamentales.,Ocupaciones de operaciones comerciales y financieras
Coroners,3,"Direct activities such as autopsies, pathological and toxicological analyses, and inquests relating to the investigation of deaths occurring within a legal jurisdiction to determine cause of death or to fix responsibility for accidental, violent, or unexplained deaths.",Business and Financial Operations Occupations,13-1041.06,Forense,"Actividades directas como autopsias, análisis patológicos y toxicológicos, y investigaciones relacionadas con la investigación de muertes que ocurren dentro de una jurisdicción legal para determinar la causa de la muerte o para fijar la responsabilidad de las muertes accidentales, violentas o inexplicables.",Ocupaciones de operaciones comerciales y financieras
