Title,dutch_title,Job Zone,Description,dutch_description,Domain,dutch_domain,O*NET-SOC Code
Facilities Managers,Facilitaire managers,3,"Plan, direct, or coordinate operations and functionalities of facilities and buildings. May include surrounding grounds or multiple facilities of an organization's campus.","Plan, direct of coördineer bewerkingen en functionaliteiten van faciliteiten en gebouwen. Kan omliggende gronden of meerdere faciliteiten van de campus van een organisatie zijn.",Management Occupations,Managementberichten,11-3013.00
Security Managers,Beveiligingsmanagers,4,"Direct an organization's security functions, including physical security and safety of employees and facilities.","Direct de beveiligingsfuncties van een organisatie, inclusief fysieke beveiliging en veiligheid van werknemers en faciliteiten.",Management Occupations,Managementberichten,11-3013.01
Computer and Information Systems Managers,Managers van computer- en informatiesystemen,4,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.","Plan, direct of coördineer activiteiten in dergelijke gebieden zoals elektronische gegevensverwerking, informatiesystemen, systeemanalyse en computerprogrammering.",Management Occupations,Managementberichten,11-3021.00
Financial Managers,Financieel managers,4,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.","Plan, direct of coördineer boekhouding, beleggen, bankieren, verzekering, effecten en andere financiële activiteiten van een filiaal, kantoor of afdeling van een vestiging.",Management Occupations,Managementberichten,11-3031.00
Treasurers and Controllers,Treasurers en controllers,4,"Direct financial activities, such as planning, procurement, and investments for all or part of an organization.","Directe financiële activiteiten, zoals planning, inkoop en investeringen voor alle of een deel van een organisatie.",Management Occupations,Managementberichten,11-3031.01
Investment Fund Managers,Managers van beleggingsfondsen,5,"Plan, direct, or coordinate investment strategy or operations for a large pool of liquid assets supplied by institutional investors or individual investors.","Plan, directe of coördinatie van beleggingsstrategie of -activiteiten voor een grote pool van liquide activa geleverd door institutionele beleggers of individuele beleggers.",Management Occupations,Managementberichten,11-3031.03
Industrial Production Managers,Industriële productiemanagers,4,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.","Plan, direct of coördineer de werkactiviteiten en middelen die nodig zijn voor productieproducten in overeenstemming met kosten-, kwaliteits- en kwantiteitsspecificaties.",Management Occupations,Managementberichten,11-3051.00
Quality Control Systems Managers,Managers van kwaliteitscontrolesystemen,4,"Plan, direct, or coordinate quality assurance programs. Formulate quality control policies and control quality of laboratory and production efforts.","Plan, direct of coördineer kwaliteitsborgingsprogramma's. Formuleer kwaliteitscontrolebeleid en controlekwaliteit van laboratorium- en productie -inspanningen.",Management Occupations,Managementberichten,11-3051.01
Geothermal Production Managers,Geothermische productiemanagers,3,Manage operations at geothermal power generation facilities. Maintain and monitor geothermal plant equipment for efficient and safe plant operations.,Beheer bewerkingen bij geothermische faciliteiten voor stroomopwekking. Houd en bewaak geothermische fabrieksapparatuur voor efficiënte en veilige fabrieksactiviteiten.,Management Occupations,Managementberichten,11-3051.02
Biofuels Production Managers,Biofuels productiemanagers,4,"Manage biofuels production and plant operations. Collect and process information on plant production and performance, diagnose problems, and design corrective procedures.","Beheer de productie van biobrandstoffen en fabrieksactiviteiten. Verzamel en verwerk informatie over de productie en prestaties van fabriek, diagnosticeer problemen en ontwerpt corrigerende procedures.",Management Occupations,Managementberichten,11-3051.03
Biomass Power Plant Managers,Biomassa -energiecentrale managers,4,"Manage operations at biomass power generation facilities. Direct work activities at plant, including supervision of operations and maintenance staff.","Beheer bewerkingen bij Biomass Power Generation -faciliteiten. Directe werkactiviteiten bij fabriek, inclusief toezicht op operaties en onderhoudspersoneel.",Management Occupations,Managementberichten,11-3051.04
Hydroelectric Production Managers,Hydro -elektrische productiemanagers,3,Manage operations at hydroelectric power generation facilities. Maintain and monitor hydroelectric plant equipment for efficient and safe plant operations.,Beheer bewerkingen bij hydro -elektrische stroomopwekkingsfaciliteiten. Handhaaf en controleer hydro -elektrische fabrieksapparatuur voor efficiënte en veilige fabrieksactiviteiten.,Management Occupations,Managementberichten,11-3051.06
Purchasing Managers,Inkoop managers,4,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers.","Plan, direct of coördineer de activiteiten van kopers, aankoopfunctionarissen en aanverwante werknemers die betrokken zijn bij het kopen van materialen, producten en diensten. Inclusief groothandels- of retailhandelshandelmanagers en inkoopmanagers.",Management Occupations,Managementberichten,11-3061.00
"Transportation, Storage, and Distribution Managers","Transport-, opslag- en distributiemanagers",4,"Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations. Includes logistics managers.","Plan, direct of coördineer transport-, opslag- of distributieactiviteiten in overeenstemming met het organisatorische beleid en de toepasselijke overheidswetten of -voorschriften. Inclusief logistieke managers.",Management Occupations,Managementberichten,11-3071.00
Supply Chain Managers,Supply chain managers,4,"Direct or coordinate production, purchasing, warehousing, distribution, or financial forecasting services or activities to limit costs and improve accuracy, customer service, or safety. Examine existing procedures or opportunities for streamlining activities to meet product distribution needs. Direct the movement, storage, or processing of inventory.","Directe of coördinatie van de productie, inkoop, opslag-, distributie- of financiële voorspellingsdiensten of activiteiten om de kosten te beperken en de nauwkeurigheid, klantenservice of veiligheid te verbeteren. Onderzoek bestaande procedures of mogelijkheden voor het stroomlijnen van activiteiten om aan de behoeften aan productdistributie te voldoen. Richt de beweging, opslag of verwerking van inventaris.",Management Occupations,Managementberichten,11-3071.04
Compensation and Benefits Managers,Compensatie- en voordelenbeheerders,4,"Plan, direct, or coordinate compensation and benefits activities of an organization.","Plan, directe of coördinatie van compensatie- en voordelenactiviteiten van een organisatie.",Management Occupations,Managementberichten,11-3111.00
Human Resources Managers,Human Resources Managers,4,"Plan, direct, or coordinate human resources activities and staff of an organization.","Plan, direct of coördineer human resources -activiteiten en personeel van een organisatie.",Management Occupations,Managementberichten,11-3121.00
Training and Development Managers,Training en ontwikkelingsmanagers,4,"Plan, direct, or coordinate the training and development activities and staff of an organization.","Plan, direct of coördineer de trainings- en ontwikkelingsactiviteiten en personeel van een organisatie.",Management Occupations,Managementberichten,11-3131.00
"Farmers, Ranchers, and Other Agricultural Managers","Boeren, ranchers en andere landbouwmanagers",4,"Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities.","Plan, direct of coördineer het beheer of de werking van boerderijen, ranches, kassen, aquaculturele operaties, kinderdagverblijven, houtkanalen of andere landbouwbedrijven. Kan landarbeiders inhuren, trainen en begeleiden of een contract voor diensten om de dagelijkse activiteiten van de beheerde operatie uit te voeren. Kan zich bezighouden met het planten, cultiveren, oogsten en financiële en marketingactiviteiten.",Management Occupations,Managementberichten,11-9013.00
Construction Managers,Bouwmanagers,4,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing.","Plan, direct of coördineren, meestal door ondergeschikt toezichtspersoneel, activiteiten die betrekking hebben op de bouw en het onderhoud van structuren, faciliteiten en systemen. Neem deel aan de conceptuele ontwikkeling van een bouwproject en houd toezicht op de organisatie, planning, budgettering en implementatie. Inclusief managers in gespecialiseerde bouwvelden, zoals timmerwerk of sanitair.",Management Occupations,Managementberichten,11-9021.00
"Education and Childcare Administrators, Preschool and Daycare","Onderwijs- en kinderopvangbeheerders, kleuterschool en kinderdagverblijf",4,"Plan, direct, or coordinate academic or nonacademic activities of preschools or childcare centers and programs, including before- and after-school care.","Plan, direct of coördineer academische of niet-academische activiteiten van kleuterschool- of kinderopvangcentra en programma's, inclusief voor- en naschoolse zorg.",Management Occupations,Managementberichten,11-9031.00
"Education Administrators, Kindergarten through Secondary","Onderwijsbeheerders, kleuterschool door middel van secundair",5,"Plan, direct, or coordinate the academic, administrative, or auxiliary activities of kindergarten, elementary, or secondary schools.","Plan, direct of coördineer de academische, administratieve of hulpactiviteiten van kleuterschool, elementaire of middelbare scholen.",Management Occupations,Managementberichten,11-9032.00
"Education Administrators, Postsecondary","Onderwijsbeheerders, postsecundair",5,"Plan, direct, or coordinate student instruction, administration, and services, as well as other research and educational activities, at postsecondary institutions, including universities, colleges, and junior and community colleges.","Plan, direct of coördineer studenteninstructie, administratie en diensten, evenals andere onderzoeks- en educatieve activiteiten, bij postsecundaire instellingen, waaronder universiteiten, hogescholen en junior en community colleges.",Management Occupations,Managementberichten,11-9033.00
Architectural and Engineering Managers,Architecturale en technische managers,5,"Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields.","Plan, direct of coördineer activiteiten op zulke gebieden zoals architectuur en engineering of onderzoek en ontwikkeling op deze gebieden.",Management Occupations,Managementberichten,11-9041.00
Biofuels/Biodiesel Technology and Product Development Managers,Biobrandstoffen/biodiesel -technologie en managers van productontwikkeling,4,"Define, plan, or execute biofuels/biodiesel research programs that evaluate alternative feedstock and process technologies with near-term commercial potential.","Definieer, plan of voer biobrandstoffen/biodiesel onderzoeksprogramma's uit die alternatieve grondstof- en procestechnologieën evalueren met commercieel potentieel op korte termijn.",Management Occupations,Managementberichten,11-9041.01
Food Service Managers,Food Service Managers,2,"Plan, direct, or coordinate activities of an organization or department that serves food and beverages.","Plan, direct of coördineer activiteiten van een organisatie of afdeling die voedsel en dranken bedient.",Management Occupations,Managementberichten,11-9051.00
Gambling Managers,Gokmanagers,3,"Plan, direct, or coordinate gambling operations in a casino. May formulate house rules.","Plan, direct of coördineer gokoperaties in een casino. Kan huisregels formuleren.",Management Occupations,Managementberichten,11-9071.00
"Entertainment and Recreation Managers, Except Gambling","Entertainment- en recreatiemanagers, behalve gokken",4,"Plan, direct, or coordinate entertainment and recreational activities and operations of a recreational facility, including cruise ships and parks.","Plan, direct of coördineer entertainment en recreatieve activiteiten en activiteiten van een recreatieve faciliteit, inclusief cruiseschepen en parken.",Management Occupations,Managementberichten,11-9072.00
Lodging Managers,Lodging Managers,4,"Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations.","Plan, direct of coördineer activiteiten van een organisatie of afdeling die accommodatie en andere accommodaties biedt.",Management Occupations,Managementberichten,11-9081.00
Medical and Health Services Managers,Medische en gezondheidsdienstenmanagers,4,"Plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations.","Plan, direct of coördineer medische en gezondheidsdiensten in ziekenhuizen, klinieken, beheerde zorgorganisaties, volksgezondheidsinstanties of soortgelijke organisaties.",Management Occupations,Managementberichten,11-9111.00
Natural Sciences Managers,Natuurwetenschappenmanagers,5,"Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields.","Plan, direct of coördineer activiteiten op zulke gebieden zoals levenswetenschappen, fysieke wetenschappen, wiskunde, statistieken en onderzoek en ontwikkeling op deze gebieden.",Management Occupations,Managementberichten,11-9121.00
Clinical Research Coordinators,Klinische onderzoekscoördinatoren,4,"Plan, direct, or coordinate clinical research projects. Direct the activities of workers engaged in clinical research projects to ensure compliance with protocols and overall clinical objectives. May evaluate and analyze clinical data.","Plan, directe of coördinatie van klinische onderzoeksprojecten. Direct de activiteiten van werknemers die zich bezighouden met klinische onderzoeksprojecten om de naleving van protocollen en algemene klinische doelstellingen te waarborgen. Kan klinische gegevens evalueren en analyseren.",Management Occupations,Managementberichten,11-9121.01
Water Resource Specialists,Waterresource specialisten,4,"Design or implement programs and strategies related to water resource issues such as supply, quality, and regulatory compliance issues.","Ontwerp of implementeer programma's en strategieën met betrekking tot problemen met waterbronnen, zoals levering, kwaliteit en nalevingsproblemen voor regelgeving.",Management Occupations,Managementberichten,11-9121.02
Postmasters and Mail Superintendents,Postmasters en e -mail superintendents,2,"Plan, direct, or coordinate operational, administrative, management, and support services of a U.S. post office; or coordinate activities of workers engaged in postal and related work in assigned post office.","Plan, direct of coördineren operationele, administratieve, management- en ondersteuningsdiensten van een Amerikaans postkantoor; of coördineer activiteiten van werknemers die zich bezighouden met post- en gerelateerde werkzaamheden in toegewezen postkantoor.",Management Occupations,Managementberichten,11-9131.00
"Property, Real Estate, and Community Association Managers","Managers van onroerend goed, onroerend goed en gemeenschapsvereniging",4,"Plan, direct, or coordinate the selling, buying, leasing, or governance activities of commercial, industrial, or residential real estate properties. Includes managers of homeowner and condominium associations, rented or leased housing units, buildings, or land (including rights-of-way).","Plan, direct of coördineer de verkoop-, aankoop-, leasep- of bestuursactiviteiten van commerciële, industriële of residentiële onroerend goed. Inclusief managers van huiseigenaar en condominiumverenigingen, gehuurde of huurwoningen, gebouwen of land (inclusief doorgangsrechten).",Management Occupations,Managementberichten,11-9141.00
Social and Community Service Managers,Sociale en gemeenschapsbeheerders,4,"Plan, direct, or coordinate the activities of a social service program or community outreach organization. Oversee the program or organization's budget and policies regarding participant involvement, program requirements, and benefits. Work may involve directing social workers, counselors, or probation officers.","Plan, direct of coördineer de activiteiten van een sociale dienstprogramma of gemeenschapsorganisatie. Houd toezicht op het budget en beleid van de organisatie of het beleid met betrekking tot de betrokkenheid van deelnemers, programma -eisen en voordelen. Werk kan betrekking hebben op het leiden van maatschappelijk werkers, counselors of reclasseringsfunctionarissen.",Management Occupations,Managementberichten,11-9151.00
Emergency Management Directors,Directeuren voor noodbeheer,4,"Plan and direct disaster response or crisis management activities, provide disaster preparedness training, and prepare emergency plans and procedures for natural (e.g., hurricanes, floods, earthquakes), wartime, or technological (e.g., nuclear power plant emergencies or hazardous materials spills) disasters or hostage situations.","Plan- en directe rampenrespons of crisisbeheeractiviteiten, bieden rampenparaatheidstraining en bereid noodplannen en procedures voor op natuurlijke (bijv. Hurricanes, overstromingen, aardbevingen), oorlogstijd of technologische (bijv. Eerstelingscodes van kerncentrales of rampen van gevaarlijke materialen) rampen) of gijzelaarsituaties.",Management Occupations,Managementberichten,11-9161.00
Funeral Home Managers,Funeral Home Managers,3,"Plan, direct, or coordinate the services or resources of funeral homes. Includes activities such as determining prices for services or merchandise and managing the facilities of funeral homes.","Plan, direct of coördineer de diensten of middelen van begrafenishuizen. Bevat activiteiten zoals het bepalen van prijzen voor diensten of merchandise en het beheren van de faciliteiten van uitvaarthuizen.",Management Occupations,Managementberichten,11-9171.00
Fitness and Wellness Coordinators,Fitness- en wellnesscoördinatoren,4,"Manage or coordinate fitness and wellness programs and services. Manage and train staff of wellness specialists, health educators, or fitness instructors.","Beheer of coördineer fitness- en welzijnsprogramma's en -diensten. Beheer en train personeel van wellnessspecialisten, gezondheidsopleiders of fitnessinstructeurs.",Management Occupations,Managementberichten,11-9179.01
Spa Managers,Spa -managers,3,"Plan, direct, or coordinate activities of a spa facility. Coordinate programs, schedule and direct staff, and oversee financial activities.","Plan, direct of coördineer activiteiten van een spa -faciliteit. Coördineer programma's, planning en direct personeel en houden toezicht op financiële activiteiten.",Management Occupations,Managementberichten,11-9179.02
Regulatory Affairs Managers,Managers van de regelgeving,4,"Plan, direct, or coordinate production activities of an organization to ensure compliance with regulations and standard operating procedures.","Plan, direct of coördineer productieactiviteiten van een organisatie om te zorgen voor naleving van voorschriften en standaard operationele procedures.",Management Occupations,Managementberichten,11-9199.01
Compliance Managers,Nalevingsmanagers,4,"Plan, direct, or coordinate activities of an organization to ensure compliance with ethical or regulatory standards.","Plan, directe of coördinatie van activiteiten van een organisatie om te zorgen voor naleving van ethische of regelgevende normen.",Management Occupations,Managementberichten,11-9199.02
Loss Prevention Managers,Verliespreventiemanagers,4,"Plan and direct policies, procedures, or systems to prevent the loss of assets. Determine risk exposure or potential liability, and develop risk control measures.","Plan en direct beleid, procedures of systemen om het verlies van activa te voorkomen. Bepaal risicoblootstelling of mogelijke aansprakelijkheid en ontwikkel risicobeheersingsmaatregelen.",Management Occupations,Managementberichten,11-9199.08
Wind Energy Operations Managers,Wind Energy Operations Managers,3,"Manage wind field operations, including personnel, maintenance activities, financial activities, and planning.","Beheer windveldactiviteiten, inclusief personeel, onderhoudsactiviteiten, financiële activiteiten en planning.",Management Occupations,Managementberichten,11-9199.09
Wind Energy Development Managers,Windenergie -ontwikkelingsmanagers,4,"Lead or manage the development and evaluation of potential wind energy business opportunities, including environmental studies, permitting, and proposals. May also manage construction of projects.","Leid of beheer de ontwikkeling en evaluatie van mogelijke kansen op het gebied van windenergiebedrijf, waaronder milieustudies, vergunning en voorstellen. Kan ook de bouw van projecten beheren.",Management Occupations,Managementberichten,11-9199.10
Brownfield Redevelopment Specialists and Site Managers,Brownfield -herontwikkelingspecialisten en sitebeheerders,4,Plan and direct cleanup and redevelopment of contaminated properties for reuse. Does not include properties sufficiently contaminated to qualify as Superfund sites.,Plan en directe opruiming en herontwikkeling van vervuilde eigenschappen voor hergebruik. Omvat geen eigenschappen die voldoende vervuild zijn om zich te kwalificeren als superfund -sites.,Management Occupations,Managementberichten,11-9199.11
"Agents and Business Managers of Artists, Performers, and Athletes","Agenten en zakelijke managers van kunstenaars, artiesten en atleten",4,"Represent and promote artists, performers, and athletes in dealings with current or prospective employers. May handle contract negotiation and other business matters for clients.","Vertegenwoordig en promoten kunstenaars, artiesten en atleten in omgang met huidige of potentiële werkgevers. Kan contractonderhandelingen en andere zakelijke zaken voor klanten behandelen.",Business and Financial Operations Occupations,Beroepen voor zakelijke en financiële operaties,13-1011.00
"Buyers and Purchasing Agents, Farm Products","Kopers en inkoopagenten, boerderijproducten",4,"Purchase farm products either for further processing or resale. Includes tree farm contractors, grain brokers and market operators, grain buyers, and tobacco buyers. May negotiate contracts.","Koop landbouwproducten voor verdere verwerking of wederverkoop. Inclusief boomkwekeraars, graanmakelaars en marktoperators, korrelkopers en tabakskopers. Kunnen over contracten onderhandelen.",Business and Financial Operations Occupations,Beroepen voor zakelijke en financiële operaties,13-1021.00
"Wholesale and Retail Buyers, Except Farm Products","Groothandel en retailkopers, behalve boerderijproducten",3,"Buy merchandise or commodities, other than farm products, for resale to consumers at the wholesale or retail level, including both durable and nondurable goods. Analyze past buying trends, sales records, price, and quality of merchandise to determine value and yield. Select, order, and authorize payment for merchandise according to contractual agreements. May conduct meetings with sales personnel and introduce new products. May negotiate contracts. Includes assistant wholesale and retail buyers of nonfarm products.","Koop merchandise of grondstoffen, anders dan landbouwproducten, voor wederverkoop aan consumenten op groothandel of winkels, inclusief zowel duurzame als niet -duurzame goederen. Analyseer eerdere kooptrends, verkooprecords, prijs en kwaliteit van merchandise om waarde en opbrengst te bepalen. Selecteer, bestel en autoriseer betaling voor merchandise volgens contractuele overeenkomsten. Kan vergaderingen houden met verkooppersoneel en nieuwe producten introduceren. Kunnen over contracten onderhandelen. Inclusief assistent -groothandel en kopers van retail van niet -boerderijproducten.",Business and Financial Operations Occupations,Beroepen voor zakelijke en financiële operaties,13-1022.00
"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Aankoopagenten, behalve groothandel, detailhandel en boerderijproducten",4,"Purchase machinery, equipment, tools, parts, supplies, or services necessary for the operation of an establishment. Purchase raw or semifinished materials for manufacturing. May negotiate contracts.","Koop machines, apparatuur, gereedschappen, onderdelen, benodigdheden of services die nodig zijn voor de werking van een etablissement. Koop onbewerkte of halve finale voor productie. Kunnen over contracten onderhandelen.",Business and Financial Operations Occupations,Beroepen voor zakelijke en financiële operaties,13-1023.00
"Claims Adjusters, Examiners, and Investigators","Claims bijvesters, examinatoren en onderzoekers",4,Review settled claims to determine that payments and settlements are made in accordance with company practices and procedures. Confer with legal counsel on claims requiring litigation. May also settle insurance claims.,Bekijk afgestemde claims om te bepalen dat betalingen en nederzettingen worden gedaan in overeenstemming met bedrijfspraktijken en -procedures. Overleggen met juridisch adviseur over claims die een rechtszaak vereisen. Kan ook verzekeringsclaims regelen.,Business and Financial Operations Occupations,Beroepen voor zakelijke en financiële operaties,13-1031.00
"Insurance Appraisers, Auto Damage","Verzekeringsbeoordelaars, auto -schade",3,Appraise automobile or other vehicle damage to determine repair costs for insurance claim settlement. Prepare insurance forms to indicate repair cost or cost estimates and recommendations. May seek agreement with automotive repair shop on repair costs.,Beoordeel de auto of andere voertuigschade om de reparatiekosten voor de regeling van de verzekeringsclaims te bepalen. Bereid verzekeringsformulieren voor om reparatiekosten of kostenramingen en aanbevelingen aan te geven. Kan een overeenkomst zoeken met de reparatiewerkplaats voor automotive op reparatiekosten.,Business and Financial Operations Occupations,Beroepen voor zakelijke en financiële operaties,13-1032.00
Compliance Officers,Nalevingsfunctionarissen,3,"Examine, evaluate, and investigate eligibility for or conformity with laws and regulations governing contract compliance of licenses and permits, and perform other compliance and enforcement inspection and analysis activities not classified elsewhere.","Onderzoek, evalueer en onderzoek in aanmerking voor in aanmerking komen voor of conformiteit met wet- en voorschriften die de naleving van licenties en vergunningen regelen, en voer andere nalevings- en handhavingsinspectie- en analyse -activiteiten uit die niet elders zijn geclassificeerd.",Business and Financial Operations Occupations,Beroepen voor zakelijke en financiële operaties,13-1041.00
Environmental Compliance Inspectors,Milieuconformiteitsinspecteurs,4,"Inspect and investigate sources of pollution to protect the public and environment and ensure conformance with Federal, State, and local regulations and ordinances.","Inspecteer en onderzoek bronnen van vervuiling om het publiek en het milieu te beschermen en te zorgen voor conformiteit met federale, provinciale en lokale voorschriften en verordeningen.",Business and Financial Operations Occupations,Beroepen voor zakelijke en financiële operaties,13-1041.01
Equal Opportunity Representatives and Officers,Vertegenwoordigers en officieren van gelijke kansen,4,"Monitor and evaluate compliance with equal opportunity laws, guidelines, and policies to ensure that employment practices and contracting arrangements give equal opportunity without regard to race, religion, color, national origin, sex, age, or disability.","Controleer en evalueer de naleving van wetten, richtlijnen en beleid van gelijke kansen om ervoor te zorgen dat werkgelegenheidspraktijken en contractregelingen gelijke kansen geven zonder rekening te houden met ras, religie, kleur, nationale afkomst, geslacht, leeftijd of handicap.",Business and Financial Operations Occupations,Beroepen voor zakelijke en financiële operaties,13-1041.03
Government Property Inspectors and Investigators,Overheidsinspecteurs en onderzoekers,3,Investigate or inspect government property to ensure compliance with contract agreements and government regulations.,Onderzoek of inspecteer overheidsbezit om de naleving van contractovereenkomsten en overheidsvoorschriften te waarborgen.,Business and Financial Operations Occupations,Beroepen voor zakelijke en financiële operaties,13-1041.04
Coroners,Lijkschouwers,3,"Direct activities such as autopsies, pathological and toxicological analyses, and inquests relating to the investigation of deaths occurring within a legal jurisdiction to determine cause of death or to fix responsibility for accidental, violent, or unexplained deaths.","Directe activiteiten zoals autopsies, pathologische en toxicologische analyses en onderzoeken met betrekking tot het onderzoek naar sterfgevallen die zich binnen een juridische jurisdictie voordoen om de doodsoorzaak te bepalen of om de verantwoordelijkheid voor accidentele, gewelddadige of onverklaarbare sterfgevallen te bepalen.",Business and Financial Operations Occupations,Beroepen voor zakelijke en financiële operaties,13-1041.06
