Title,Job Zone,Description,Domain,O*NET-SOC Code,german_title,german_description,german_domain
Biomass Power Plant Managers,4,"Manage operations at biomass power generation facilities. Direct work activities at plant, including supervision of operations and maintenance staff.",Management Occupations,11-3051.04,Biomasse -Kraftwerksmanager,"Verwalten Sie den Betrieb in Einrichtungen der Biomasse -Stromerzeugung. Direkte Arbeitsaktivitäten in der Anlage, einschließlich der Aufsicht des Betriebs- und Wartungspersonals.",Managementberufe
Hydroelectric Production Managers,3,Manage operations at hydroelectric power generation facilities. Maintain and monitor hydroelectric plant equipment for efficient and safe plant operations.,Management Occupations,11-3051.06,Hydroelektrik -Produktionsmanager,Verwalten Sie den Betrieb in Einrichtungen zur Erzeugung von Wasserkraft. Wartung und Überwachung von Wasserkraftanlagengeräten für effiziente und sichere Anlagenbetriebe.,Managementberufe
Purchasing Managers,4,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers.",Management Occupations,11-3061.00,Einkaufsmanager,"Planen, Regie oder Koordination der Aktivitäten von Käufern, Einkaufsbeauftragten und verwandten Arbeitnehmern, die an Kaufmaterial, Produkten und Dienstleistungen beteiligt sind. Beinhaltet Merchandising -Manager und Beschaffungsmanager im Groß- oder Einzelhandel.",Managementberufe
"Transportation, Storage, and Distribution Managers",4,"Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations. Includes logistics managers.",Management Occupations,11-3071.00,"Transport-, Lager- und Vertriebsleiter","Planen, direkten Transport-, Lager- oder Vertriebsaktivitäten in Übereinstimmung mit den Organisationspolitik und den geltenden staatlichen Gesetzen oder Vorschriften planen. Enthält Logistikmanager.",Managementberufe
Supply Chain Managers,4,"Direct or coordinate production, purchasing, warehousing, distribution, or financial forecasting services or activities to limit costs and improve accuracy, customer service, or safety. Examine existing procedures or opportunities for streamlining activities to meet product distribution needs. Direct the movement, storage, or processing of inventory.",Management Occupations,11-3071.04,Lieferkettenmanager,"Direkter Produktions-, Einkaufs-, Lager-, Vertriebs- oder Finanzprognosedienste oder -aktivitäten direkt oder koordinieren Sie die Kosten, um die Kosten, den Kundendienst oder die Sicherheit zu verbessern. Untersuchen Sie vorhandene Verfahren oder Möglichkeiten zur Straffung von Aktivitäten, um den Anforderungen der Produktverteilung gerecht zu werden. Legen Sie die Bewegung, Speicherung oder Verarbeitung des Inventars an.",Managementberufe
Compensation and Benefits Managers,4,"Plan, direct, or coordinate compensation and benefits activities of an organization.",Management Occupations,11-3111.00,Kompensation- und Leistungsmanager,"Planen, Direkten oder Koordinierung von Aktivitäten und Leistungen einer Organisation.",Managementberufe
Human Resources Managers,4,"Plan, direct, or coordinate human resources activities and staff of an organization.",Management Occupations,11-3121.00,Personalmanager,"Planen, oder koordinieren Sie Personalaktivitäten und Mitarbeiter einer Organisation.",Managementberufe
Training and Development Managers,4,"Plan, direct, or coordinate the training and development activities and staff of an organization.",Management Occupations,11-3131.00,Trainings- und Entwicklungsmanager,"Planen, Regie oder Koordination der Schulungs- und Entwicklungsaktivitäten und der Mitarbeiter einer Organisation.",Managementberufe
"Farmers, Ranchers, and Other Agricultural Managers",4,"Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities.",Management Occupations,11-9013.00,"Landwirte, Viehzüchter und andere landwirtschaftliche Manager","Planen, Regie oder Koordination des Managements oder des Betriebs von Farmen, Ranches, Gewächshäusern, Aquakulturoperationen, Kindergärten, Holzgebieten oder anderen landwirtschaftlichen Einrichtungen. Kann Landarbeiter einstellen, ausbilden und beaufsichtigen oder einen Vertrag für Dienstleistungen zur Durchführung der täglichen Aktivitäten des verwalteten Betriebs einstellen. Kann sich an Pflanzen, Kultivieren, Ernte sowie finanzielle und Marketingaktivitäten beaufsichtigen.",Managementberufe
Construction Managers,4,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing.",Management Occupations,11-9021.00,Baumanager,"Planen, direkt oder koordinieren Sie normalerweise durch untergeordnete Aufsichtspersonal, Aktivitäten, die sich mit dem Bau und der Aufrechterhaltung von Strukturen, Einrichtungen und Systemen befassen. Nehmen Sie an der konzeptionellen Entwicklung eines Bauprojekts teil und überwachen Sie seine Organisation, die Planung, Budgetierung und Implementierung. Beinhaltet Manager in spezialisierten Baufeldern wie Tischlerei oder Sanitär.",Managementberufe
"Education and Childcare Administrators, Preschool and Daycare",4,"Plan, direct, or coordinate academic or nonacademic activities of preschools or childcare centers and programs, including before- and after-school care.",Management Occupations,11-9031.00,"Ausbildung und Kinderbetreuungsverwalter, Vorschule und Kindertagesstätte","Planen, oder koordinieren Sie akademische oder nichtakademische Aktivitäten von Vorschulen oder Kinderbetreuungszentren und -programmen, einschließlich der Vor- und Nachschulversorgung.",Managementberufe
"Education Administrators, Kindergarten through Secondary",5,"Plan, direct, or coordinate the academic, administrative, or auxiliary activities of kindergarten, elementary, or secondary schools.",Management Occupations,11-9032.00,"Bildungsverwalter, Kindergarten durch Sekundarstufe","Planen, leiten oder koordinieren Sie die akademischen, administrativen oder Hilfsaktivitäten von Kindergarten-, Grund- oder Sekundarschulen.",Managementberufe
"Education Administrators, Postsecondary",5,"Plan, direct, or coordinate student instruction, administration, and services, as well as other research and educational activities, at postsecondary institutions, including universities, colleges, and junior and community colleges.",Management Occupations,11-9033.00,"Bildungsverwalter, postsekundär","Planen, Direkten oder Koordinierung der Studierenden Unterricht, Verwaltung und Dienstleistungen sowie andere Forschungs- und Bildungsaktivitäten an postsekundären Institutionen, einschließlich Universitäten, Hochschulen sowie Junior- und Community Colleges.",Managementberufe
Architectural and Engineering Managers,5,"Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields.",Management Occupations,11-9041.00,Architektur- und Ingenieurmanager,"Planen, direkte Aktivitäten in diesen Bereichen in diesen Bereichen planen, direkten Aktivitäten wie Architektur sowie Ingenieurwesen oder Forschung und Entwicklung.",Managementberufe
Biofuels/Biodiesel Technology and Product Development Managers,4,"Define, plan, or execute biofuels/biodiesel research programs that evaluate alternative feedstock and process technologies with near-term commercial potential.",Management Occupations,11-9041.01,Biokraftstoffe/Biodieseltechnologie und Produktentwicklungsmanager,"Biokraftstoffe/Biodiesel-Forschungsprogramme definieren, planen oder ausführen, die alternative Rohstock- und Prozesstechnologien mit kurzfristig kommerziellem Potenzial bewerten.",Managementberufe
Food Service Managers,2,"Plan, direct, or coordinate activities of an organization or department that serves food and beverages.",Management Occupations,11-9051.00,Food Service Manager,"Planen, Regie oder Koordinaten einer Organisation oder Abteilung, die Lebensmittel und Getränke bedient.",Managementberufe
Gambling Managers,3,"Plan, direct, or coordinate gambling operations in a casino. May formulate house rules.",Management Occupations,11-9071.00,Glücksspielmanager,"Planen, oder koordinieren Sie Glücksspieloperationen in einem Casino. Kann Hausregeln formulieren.",Managementberufe
"Entertainment and Recreation Managers, Except Gambling",4,"Plan, direct, or coordinate entertainment and recreational activities and operations of a recreational facility, including cruise ships and parks.",Management Occupations,11-9072.00,"Unterhaltungs- und Freizeitmanager, außer Glücksspiel","Planen, direkte Unterhaltungs- und Freizeitaktivitäten und Betrieb einer Freizeiteinrichtung, einschließlich Kreuzfahrtschiffen und Parks.",Managementberufe
Lodging Managers,4,"Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations.",Management Occupations,11-9081.00,Unterbringungsmanager,"Planen, direkte Aktivitäten oder Abteilungen, die Unterkunft und andere Unterkünfte anbieten.",Managementberufe
Medical and Health Services Managers,4,"Plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations.",Management Occupations,11-9111.00,Manager für medizinische und medizinische Dienstleistungen,"Planen, Regie oder Koordinierung von Medizin- und Gesundheitsdiensten in Krankenhäusern, Kliniken, Managed Care -Organisationen, öffentlichen Gesundheitsbehörden oder ähnlichen Organisationen.",Managementberufe
Natural Sciences Managers,5,"Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields.",Management Occupations,11-9121.00,Naturwissenschaften Manager,"Planen, direkte Aktivitäten in Bereichen wie Biowissenschaften, physische Wissenschaften, Mathematik, Statistik sowie Forschung und Entwicklung in diesen Bereichen.",Managementberufe
Clinical Research Coordinators,4,"Plan, direct, or coordinate clinical research projects. Direct the activities of workers engaged in clinical research projects to ensure compliance with protocols and overall clinical objectives. May evaluate and analyze clinical data.",Management Occupations,11-9121.01,Klinische Forschungskoordinatoren,"Planen, direkt klinische Forschungsprojekte. Leiten Sie die Aktivitäten von Arbeitnehmern, die an klinischen Forschungsprojekten tätig sind, um die Einhaltung der Protokolle und der allgemeinen klinischen Ziele zu gewährleisten. Kann klinische Daten bewerten und analysieren.",Managementberufe
Water Resource Specialists,4,"Design or implement programs and strategies related to water resource issues such as supply, quality, and regulatory compliance issues.",Management Occupations,11-9121.02,Wasserressourcenspezialisten,"Entwerfen oder Implementieren von Programmen und Strategien im Zusammenhang mit Wasserressourcenproblemen wie Versorgung, Qualität und Vorschriftenproblemen.",Managementberufe
Postmasters and Mail Superintendents,2,"Plan, direct, or coordinate operational, administrative, management, and support services of a U.S. post office; or coordinate activities of workers engaged in postal and related work in assigned post office.",Management Occupations,11-9131.00,Postmeister und Mail -Superintendenten,"Planen, Direkt- oder Koordinaten für Betriebs-, Verwaltungs-, Verwaltungs- und Unterstützungsdienste eines US -Postamtes; oder koordinieren Aktivitäten von Arbeitnehmern, die sich in der Post- und damit verbundenen Arbeiten in der zugewiesenen Post befassen.",Managementberufe
"Property, Real Estate, and Community Association Managers",4,"Plan, direct, or coordinate the selling, buying, leasing, or governance activities of commercial, industrial, or residential real estate properties. Includes managers of homeowner and condominium associations, rented or leased housing units, buildings, or land (including rights-of-way).",Management Occupations,11-9141.00,"Manager von Eigentum, Immobilien und Community Association","Planen, Regie oder Koordination der Aktivitäten für Verkaufs-, Kauf-, Leasing- oder Governance -Aktivitäten von Gewerbe-, Industrie- oder Wohnimmobilienimmobilien. Beinhaltet Manager von Hausbesitzern und Eigentumswohnungsverbänden, gemietete oder gemietete Wohneinheiten, Gebäude oder Land (einschließlich der Wegerechte).",Managementberufe
Social and Community Service Managers,4,"Plan, direct, or coordinate the activities of a social service program or community outreach organization. Oversee the program or organization's budget and policies regarding participant involvement, program requirements, and benefits. Work may involve directing social workers, counselors, or probation officers.",Management Occupations,11-9151.00,Sozial- und Zivildienstmanager,"Planen, Regie oder Koordination der Aktivitäten eines sozialen Dienstprogramms oder eines Community Outreach -Organisation. Überwachen Sie das Budget und die Richtlinien des Programms oder der Organisation in Bezug auf die Beteiligung der Teilnehmer, die Programmanforderungen und die Leistungen. Arbeiten können die Anweisung von Sozialarbeitern, Beratern oder Bewährungshelfern beinhalten.",Managementberufe
Emergency Management Directors,4,"Plan and direct disaster response or crisis management activities, provide disaster preparedness training, and prepare emergency plans and procedures for natural (e.g., hurricanes, floods, earthquakes), wartime, or technological (e.g., nuclear power plant emergencies or hazardous materials spills) disasters or hostage situations.",Management Occupations,11-9161.00,Notfallmanagementdirektoren,"Planen und direkte Aktivitäten zur Katastrophen- oder Krisenmanagement, bieten Schulungen für Katastrophenvorsorge an und erstellen Sie Notfallpläne und -verfahren für natürliche (z. B. Hurrikane, Überschwemmungen, Erdbeben), Kriegszeiten oder technologische (z. B. Notfälle für Kernkraftwerke oder Gefährdungsmaterialien) Katastrophen oder Geiselsituationen.",Managementberufe
Funeral Home Managers,3,"Plan, direct, or coordinate the services or resources of funeral homes. Includes activities such as determining prices for services or merchandise and managing the facilities of funeral homes.",Management Occupations,11-9171.00,Bestattungsunternehmen,"Planen, Regie oder Koordination der Dienste oder Ressourcen von Bestattungsunternehmen. Beinhaltet Aktivitäten wie die Ermittlung von Preisen für Dienstleistungen oder Waren und die Verwaltung der Einrichtungen von Bestattungsunternehmen.",Managementberufe
Fitness and Wellness Coordinators,4,"Manage or coordinate fitness and wellness programs and services. Manage and train staff of wellness specialists, health educators, or fitness instructors.",Management Occupations,11-9179.01,Fitness- und Wellnesskoordinatoren,"Fitness- und Wellnessprogramme und -dienste verwalten oder koordinieren. Verwalten und schulen Sie Mitarbeiter von Wellness -Spezialisten, Gesundheitspädagogen oder Fitnesslehrern.",Managementberufe
Spa Managers,3,"Plan, direct, or coordinate activities of a spa facility. Coordinate programs, schedule and direct staff, and oversee financial activities.",Management Occupations,11-9179.02,Spa -Manager,"Planen, direkte Aktivitäten einer Spa -Einrichtung. Koordinieren Sie Programme, Zeitplan und direkte Mitarbeiter und überwachen die finanziellen Aktivitäten.",Managementberufe
Regulatory Affairs Managers,4,"Plan, direct, or coordinate production activities of an organization to ensure compliance with regulations and standard operating procedures.",Management Occupations,11-9199.01,Regulierungsunternehmen Manager,"Planen, direkte Produktionsaktivitäten einer Organisation, um Vorschriften und Standardbetriebsverfahren einzuhalten.",Managementberufe
Compliance Managers,4,"Plan, direct, or coordinate activities of an organization to ensure compliance with ethical or regulatory standards.",Management Occupations,11-9199.02,Compliance -Manager,"Planen, direkte Aktivitäten einer Organisation, um die Einhaltung ethischer oder regulatorischer Standards zu gewährleisten.",Managementberufe
Loss Prevention Managers,4,"Plan and direct policies, procedures, or systems to prevent the loss of assets. Determine risk exposure or potential liability, and develop risk control measures.",Management Occupations,11-9199.08,Verlustpräventionsleiter,"Planen und direkte Richtlinien, Verfahren oder Systeme, um den Verlust von Vermögenswerten zu verhindern. Bestimmen Sie die Risikoexposition oder potenzielle Haftung und entwickeln Sie Risikokontrollmaßnahmen.",Managementberufe
Wind Energy Operations Managers,3,"Manage wind field operations, including personnel, maintenance activities, financial activities, and planning.",Management Occupations,11-9199.09,Manager des Windenergiebetriebs,"Verwalten Sie Windfeldbetriebe, einschließlich Personal, Wartungsaktivitäten, finanziellen Aktivitäten und Planung.",Managementberufe
Wind Energy Development Managers,4,"Lead or manage the development and evaluation of potential wind energy business opportunities, including environmental studies, permitting, and proposals. May also manage construction of projects.",Management Occupations,11-9199.10,Manager für Windenergieentwicklungen,"Leiten oder Verwalten Sie die Entwicklung und Bewertung potenzieller Geschäftsmöglichkeiten für Windenergie, einschließlich Umweltstudien, Genehmigungen und Vorschlägen. Kann auch den Bau von Projekten verwalten.",Managementberufe
Brownfield Redevelopment Specialists and Site Managers,4,Plan and direct cleanup and redevelopment of contaminated properties for reuse. Does not include properties sufficiently contaminated to qualify as Superfund sites.,Management Occupations,11-9199.11,Brownfield -Sanierungsspezialisten und Standortmanager,"Planen und direkte Aufräumarbeiten und Sanierung kontaminierter Eigenschaften zur Wiederverwendung. Enthält keine Eigenschaften, die ausreichend kontaminiert sind, um als Superfund -Standorte zu qualifizieren.",Managementberufe
"Agents and Business Managers of Artists, Performers, and Athletes",4,"Represent and promote artists, performers, and athletes in dealings with current or prospective employers. May handle contract negotiation and other business matters for clients.",Business and Financial Operations Occupations,13-1011.00,"Agenten und Wirtschaftsmanager von Künstlern, Darstellern und Athleten","Vertretung und Förderung von Künstlern, Darstellern und Athleten im Umgang mit aktuellen oder potenziellen Arbeitgebern. Kann Vertragsverhandlungen und andere Geschäftsfragen für Kunden bewältigen.",Geschäfts- und Finanzbetriebsberufe
"Buyers and Purchasing Agents, Farm Products",4,"Purchase farm products either for further processing or resale. Includes tree farm contractors, grain brokers and market operators, grain buyers, and tobacco buyers. May negotiate contracts.",Business and Financial Operations Occupations,13-1021.00,"Käufer und Einkaufsagenten, landwirtschaftliche Produkte","Kaufen Sie landwirtschaftliche Produkte entweder zum weiteren Verarbeitung oder zum Weiterverkauf. Beinhaltet Baumfarmunternehmer, Getreidemakler und Marktbetreiber, Getreidekäufer und Tabakkäufer. Kann Verträge aushandeln.",Geschäfts- und Finanzbetriebsberufe
"Wholesale and Retail Buyers, Except Farm Products",3,"Buy merchandise or commodities, other than farm products, for resale to consumers at the wholesale or retail level, including both durable and nondurable goods. Analyze past buying trends, sales records, price, and quality of merchandise to determine value and yield. Select, order, and authorize payment for merchandise according to contractual agreements. May conduct meetings with sales personnel and introduce new products. May negotiate contracts. Includes assistant wholesale and retail buyers of nonfarm products.",Business and Financial Operations Occupations,13-1022.00,Groß- und Einzelhandelskäufer außer landwirtschaftlichen Produkten,"Kaufen Sie Waren oder Rohstoffe außer landwirtschaftlichen Produkten, um den Verbrauchern im Groß- oder Einzelhandelsebene, einschließlich dauerhafter und nicht dauerbarer Waren, wiederzuverkauf. Analysieren Sie frühere Kauftrends, Verkaufsunterlagen, Preis und Qualität der Waren, um Wert und Rendite zu bestimmen. Die Zahlung für Waren nach vertraglichen Vereinbarungen auswählen, bestellen und autorisieren. Kann Treffen mit Verkäufern durchführen und neue Produkte einführen. Kann Verträge aushandeln. Beinhaltet stellvertretende Großhandels- und Einzelhandelskäufer von nicht erziehbaren Produkten.",Geschäfts- und Finanzbetriebsberufe
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",4,"Purchase machinery, equipment, tools, parts, supplies, or services necessary for the operation of an establishment. Purchase raw or semifinished materials for manufacturing. May negotiate contracts.",Business and Financial Operations Occupations,13-1023.00,"Einkaufsagenten außer Großhandel, Einzelhandel und landwirtschaftlichen Produkten","Kaufmaschinen, Geräte, Werkzeuge, Teile, Vorräte oder Dienstleistungen für den Betrieb einer Einrichtung kaufen. Kaufen Sie Roh- oder Halbmaterialien für die Herstellung. Kann Verträge aushandeln.",Geschäfts- und Finanzbetriebsberufe
"Claims Adjusters, Examiners, and Investigators",4,Review settled claims to determine that payments and settlements are made in accordance with company practices and procedures. Confer with legal counsel on claims requiring litigation. May also settle insurance claims.,Business and Financial Operations Occupations,13-1031.00,"Ansprüche für Angaben, Prüfer und Ermittler","Überprüfung erfasste Ansprüche, um festzustellen, dass Zahlungen und Siedlungen gemäß den Unternehmenspraktiken und -verfahren erfolgen. Mit Rechtsberatung über Ansprüche, die Rechtsstreitigkeiten erfordern. Kann auch Versicherungsansprüche abschließen.",Geschäfts- und Finanzbetriebsberufe
"Insurance Appraisers, Auto Damage",3,Appraise automobile or other vehicle damage to determine repair costs for insurance claim settlement. Prepare insurance forms to indicate repair cost or cost estimates and recommendations. May seek agreement with automotive repair shop on repair costs.,Business and Financial Operations Occupations,13-1032.00,"Versicherungsschätzer, Autoschaden","Bewerten Sie das Auto- oder andere Fahrzeugschäden, um die Reparaturkosten für die Versicherungsansprüche zu ermitteln. Erstellen Sie Versicherungsformulare, um Reparaturkosten oder Kostenschätzungen und Empfehlungen anzuzeigen. Kann eine Vereinbarung mit Automobilreparaturwerkstatt über Reparaturkosten einholen.",Geschäfts- und Finanzbetriebsberufe
