Title,Job Zone,Description,Domain,O*NET-SOC Code,french_title,french_description,french_domain
Facilities Managers,3,"Plan, direct, or coordinate operations and functionalities of facilities and buildings. May include surrounding grounds or multiple facilities of an organization's campus.",Management Occupations,11-3013.00,Gestionnaires des installations,"Planifier, directement ou coordonner les opérations et les fonctionnalités des installations et des bâtiments. Peut inclure des terrains environnants ou plusieurs installations du campus d'une organisation.",Professions de gestion
Security Managers,4,"Direct an organization's security functions, including physical security and safety of employees and facilities.",Management Occupations,11-3013.01,Gestionnaires de sécurité,"Diriger les fonctions de sécurité d'une organisation, y compris la sécurité physique et la sécurité des employés et des installations.",Professions de gestion
Computer and Information Systems Managers,4,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.",Management Occupations,11-3021.00,Gestionnaires de systèmes informatiques et d'information,"Planifier, directement ou coordonner les activités dans des domaines tels que le traitement électronique des données, les systèmes d'information, l'analyse des systèmes et la programmation informatique.",Professions de gestion
Financial Managers,4,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.",Management Occupations,11-3031.00,Gestionnaires financiers,"Planifier, directement ou coordonner la comptabilité, l'investissement, la banque, l'assurance, les titres et d'autres activités financières d'une succursale, d'un bureau ou d'un département d'un établissement.",Professions de gestion
Treasurers and Controllers,4,"Direct financial activities, such as planning, procurement, and investments for all or part of an organization.",Management Occupations,11-3031.01,Trésoriers et contrôleurs,"Activités financières directes, telles que la planification, l'approvisionnement et les investissements pour tout ou partie d'une organisation.",Professions de gestion
Investment Fund Managers,5,"Plan, direct, or coordinate investment strategy or operations for a large pool of liquid assets supplied by institutional investors or individual investors.",Management Occupations,11-3031.03,Gestionnaires de fonds d'investissement,"Planifier, directement ou coordonner la stratégie d'investissement ou les opérations pour un grand pool d'actifs liquides fournis par les investisseurs institutionnels ou les investisseurs individuels.",Professions de gestion
Industrial Production Managers,4,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.",Management Occupations,11-3051.00,Chefs de production industrielle,"Planifier, diriger ou coordonner les activités de travail et les ressources nécessaires à la fabrication de produits conformément aux spécifications du coût, de la qualité et de la quantité.",Professions de gestion
Quality Control Systems Managers,4,"Plan, direct, or coordinate quality assurance programs. Formulate quality control policies and control quality of laboratory and production efforts.",Management Occupations,11-3051.01,Gestionnaires de systèmes de contrôle de la qualité,"Planifier, directement ou coordonner les programmes d'assurance qualité. Formuler des politiques de contrôle de la qualité et la qualité du contrôle des efforts de laboratoire et de production.",Professions de gestion
Geothermal Production Managers,3,Manage operations at geothermal power generation facilities. Maintain and monitor geothermal plant equipment for efficient and safe plant operations.,Management Occupations,11-3051.02,Geothermal Production Managers,Gérer les opérations dans les installations de production d'électricité géothermique. Maintenir et surveiller l'équipement de l'usine géothermique pour des opérations de plantes efficaces et sûres.,Professions de gestion
Biofuels Production Managers,4,"Manage biofuels production and plant operations. Collect and process information on plant production and performance, diagnose problems, and design corrective procedures.",Management Occupations,11-3051.03,Biofuels Gestionnaires,"Gérer la production de biocarburants et les opérations de l'usine. Collecter et traiter les informations sur la production et les performances des usines, diagnostiquer les problèmes et concevoir des procédures correctives.",Professions de gestion
Biomass Power Plant Managers,4,"Manage operations at biomass power generation facilities. Direct work activities at plant, including supervision of operations and maintenance staff.",Management Occupations,11-3051.04,Gestionnaires de centrales électriques de biomasse,"Gérer les opérations dans les installations de production d'électricité de biomasse. Activités de travail directes à l'usine, y compris la supervision du personnel des opérations et de la maintenance.",Professions de gestion
Hydroelectric Production Managers,3,Manage operations at hydroelectric power generation facilities. Maintain and monitor hydroelectric plant equipment for efficient and safe plant operations.,Management Occupations,11-3051.06,Gestionnaires de production hydroélectrique,Gérer les opérations dans les installations de production d'électricité hydroélectrique. Maintenir et surveiller l'équipement des usines hydroélectriques pour des opérations de plantes efficaces et sûres.,Professions de gestion
Purchasing Managers,4,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers.",Management Occupations,11-3061.00,Directeurs d'achats,"Planifier, diriger ou coordonner les activités des acheteurs, des agents d'achat et des travailleurs connexes impliqués dans l'achat de matériaux, de produits et de services. Comprend des gestionnaires de marchandisage et des gestionnaires d'approvisionnement en gros ou au détail.",Professions de gestion
"Transportation, Storage, and Distribution Managers",4,"Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations. Includes logistics managers.",Management Occupations,11-3071.00,"Gestionnaires de transport, de stockage et de distribution","Planifier, directement ou coordonner les activités de transport, de stockage ou de distribution conformément aux politiques organisationnelles et aux lois ou réglementations du gouvernement applicables. Comprend les gestionnaires de logistique.",Professions de gestion
Supply Chain Managers,4,"Direct or coordinate production, purchasing, warehousing, distribution, or financial forecasting services or activities to limit costs and improve accuracy, customer service, or safety. Examine existing procedures or opportunities for streamlining activities to meet product distribution needs. Direct the movement, storage, or processing of inventory.",Management Occupations,11-3071.04,Gestionnaires de la chaîne d'approvisionnement,"Production directe ou coordonnée, achat, entreposage, distribution ou services ou activités de prévision financière pour limiter les coûts et améliorer l'exactitude, le service à la clientèle ou la sécurité. Examinez les procédures existantes ou les opportunités de rationalisation des activités pour répondre aux besoins de distribution de produits. Diriger le mouvement, le stockage ou le traitement des stocks.",Professions de gestion
Compensation and Benefits Managers,4,"Plan, direct, or coordinate compensation and benefits activities of an organization.",Management Occupations,11-3111.00,Gestionnaires de rémunération et d'avantages sociaux,"Planifier, directement ou coordonner les activités de rémunération et d'avantages sociaux d'une organisation.",Professions de gestion
Human Resources Managers,4,"Plan, direct, or coordinate human resources activities and staff of an organization.",Management Occupations,11-3121.00,Gestionnaires des ressources humaines,"Planifier, diriger ou coordonner les activités des ressources humaines et le personnel d'une organisation.",Professions de gestion
Training and Development Managers,4,"Plan, direct, or coordinate the training and development activities and staff of an organization.",Management Occupations,11-3131.00,Gestionnaires de formation et de développement,"Planifier, diriger ou coordonner les activités de formation et de développement et le personnel d'une organisation.",Professions de gestion
"Farmers, Ranchers, and Other Agricultural Managers",4,"Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities.",Management Occupations,11-9013.00,"Agriculteurs, éleveurs et autres gestionnaires agricoles","Planifier, diriger ou coordonner la gestion ou l'exploitation des fermes, des ranchs, des serres, des opérations aquacales, des pépinières, des voies de bois ou d'autres établissements agricoles. Peut embaucher, former et superviser les travailleurs agricoles ou contracter des services pour mener les activités quotidiennes de l'opération gérée. Peut s'engager ou superviser les activités de plantation, de culture, de récolte et de financière et de commercialisation.",Professions de gestion
Construction Managers,4,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing.",Management Occupations,11-9021.00,Chefs de construction,"Planifier, directement ou coordonner, généralement par le biais du personnel de supervision subordonné, des activités concernées par la construction et l'entretien des structures, des installations et des systèmes. Participer au développement conceptuel d'un projet de construction et superviser son organisation, la planification, la budgétisation et la mise en œuvre. Comprend des gestionnaires dans des champs de construction spécialisés, tels que la menuiserie ou la plomberie.",Professions de gestion
"Education and Childcare Administrators, Preschool and Daycare",4,"Plan, direct, or coordinate academic or nonacademic activities of preschools or childcare centers and programs, including before- and after-school care.",Management Occupations,11-9031.00,"Administrateurs d'éducation et de garde d'enfants, préscolaire et garderie","Planifier, directement ou coordonner les activités académiques ou non académiques des écoles maternelles ou des services et programmes de garde d'enfants, y compris les soins avant et après l'école.",Professions de gestion
"Education Administrators, Kindergarten through Secondary",5,"Plan, direct, or coordinate the academic, administrative, or auxiliary activities of kindergarten, elementary, or secondary schools.",Management Occupations,11-9032.00,"Administrateurs de l'éducation, jardin d'enfants à travers le secondaire","Planifier, diriger ou coordonner les activités académiques, administratives ou auxiliaires des écoles de la maternelle, du primaire ou du secondaire.",Professions de gestion
"Education Administrators, Postsecondary",5,"Plan, direct, or coordinate student instruction, administration, and services, as well as other research and educational activities, at postsecondary institutions, including universities, colleges, and junior and community colleges.",Management Occupations,11-9033.00,"Administrateurs de l'éducation, postsecondaire","Planifier, diriger ou coordonner l'enseignement des étudiants, l'administration et les services, ainsi que d'autres activités de recherche et éducatifs, dans des établissements postsecondaires, y compris des universités, des collèges et des collèges juniors et communautaires.",Professions de gestion
Architectural and Engineering Managers,5,"Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields.",Management Occupations,11-9041.00,Gestionnaires d'architecture et d'ingénierie,"Planifier, directement ou coordonner les activités dans des domaines tels que l'architecture et l'ingénierie ou la recherche et le développement dans ces domaines.",Professions de gestion
Biofuels/Biodiesel Technology and Product Development Managers,4,"Define, plan, or execute biofuels/biodiesel research programs that evaluate alternative feedstock and process technologies with near-term commercial potential.",Management Occupations,11-9041.01,Biofuels / Technologie du biodiesel et gestionnaires de développement de produits,"Définissez, planifiez ou exécutez des programmes de recherche de biocarburants / biodiesel qui évaluent des technologies de matières premières et de processus alternatives avec un potentiel commercial à court terme.",Professions de gestion
Food Service Managers,2,"Plan, direct, or coordinate activities of an organization or department that serves food and beverages.",Management Occupations,11-9051.00,Gestionnaires des services alimentaires,"Planifier, directement ou coordonner les activités d'une organisation ou d'un département qui sert de la nourriture et des boissons.",Professions de gestion
Gambling Managers,3,"Plan, direct, or coordinate gambling operations in a casino. May formulate house rules.",Management Occupations,11-9071.00,Gestionnaires de jeux,"Planifier, directement ou coordonner les opérations de jeu dans un casino. Peut formuler des règles de la maison.",Professions de gestion
"Entertainment and Recreation Managers, Except Gambling",4,"Plan, direct, or coordinate entertainment and recreational activities and operations of a recreational facility, including cruise ships and parks.",Management Occupations,11-9072.00,"Divertissement et responsables récréatifs, sauf le jeu","Planifier, directement ou coordonner les activités de divertissement et de loisirs et les opérations d'une installation récréative, y compris des navires de croisière et des parcs.",Professions de gestion
Lodging Managers,4,"Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations.",Management Occupations,11-9081.00,Responsables de l'hébergement,"Planifier, directement ou coordonner les activités d'une organisation ou d'un département qui fournit un hébergement et d'autres logements.",Professions de gestion
Medical and Health Services Managers,4,"Plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations.",Management Occupations,11-9111.00,Gestionnaires des services médicaux et de santé,"Planifier, directement ou coordonner les services médicaux et de santé dans les hôpitaux, les cliniques, les organisations de soins gérées, les agences de santé publique ou les organisations similaires.",Professions de gestion
Natural Sciences Managers,5,"Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields.",Management Occupations,11-9121.00,Gestionnaires des sciences naturelles,"Planifier, directement ou coordonner les activités dans des domaines tels que les sciences de la vie, les sciences physiques, les mathématiques, les statistiques et la recherche et le développement dans ces domaines.",Professions de gestion
Clinical Research Coordinators,4,"Plan, direct, or coordinate clinical research projects. Direct the activities of workers engaged in clinical research projects to ensure compliance with protocols and overall clinical objectives. May evaluate and analyze clinical data.",Management Occupations,11-9121.01,Coordinateurs de la recherche clinique,"Planifier, directement ou coordonner les projets de recherche clinique. Diriger les activités des travailleurs engagés dans des projets de recherche clinique pour assurer la conformité aux protocoles et aux objectifs cliniques globaux. Peut évaluer et analyser les données cliniques.",Professions de gestion
Water Resource Specialists,4,"Design or implement programs and strategies related to water resource issues such as supply, quality, and regulatory compliance issues.",Management Occupations,11-9121.02,Spécialistes des ressources en eau,"Concevoir ou mettre en œuvre des programmes et des stratégies liés aux problèmes de ressources en eau tels que les problèmes d'approvisionnement, de qualité et de conformité réglementaire.",Professions de gestion
Postmasters and Mail Superintendents,2,"Plan, direct, or coordinate operational, administrative, management, and support services of a U.S. post office; or coordinate activities of workers engaged in postal and related work in assigned post office.",Management Occupations,11-9131.00,Postmasters et surintendants du courrier,"Planifier, directement ou coordonner les services opérationnels, administratifs, de gestion et de soutien d'un bureau de poste américain; ou coordonner les activités des travailleurs engagés dans des travaux postaux et connexes dans le bureau de poste assigné.",Professions de gestion
"Property, Real Estate, and Community Association Managers",4,"Plan, direct, or coordinate the selling, buying, leasing, or governance activities of commercial, industrial, or residential real estate properties. Includes managers of homeowner and condominium associations, rented or leased housing units, buildings, or land (including rights-of-way).",Management Occupations,11-9141.00,"Les gestionnaires d'association immobilière, immobilière et communautaire","Planifier, diriger ou coordonner les activités de vente, d'achat, de location ou de gouvernance des propriétés immobilières commerciales, industrielles ou résidentielles. Comprend les gestionnaires d'associations de propriétaires et de copropriété, de logements loués ou loués, de bâtiments ou de terrains (y compris les droits de route).",Professions de gestion
Social and Community Service Managers,4,"Plan, direct, or coordinate the activities of a social service program or community outreach organization. Oversee the program or organization's budget and policies regarding participant involvement, program requirements, and benefits. Work may involve directing social workers, counselors, or probation officers.",Management Occupations,11-9151.00,Gestionnaires de services sociaux et communautaires,"Planifier, diriger ou coordonner les activités d'un programme de services sociaux ou d'une organisation de sensibilisation communautaire. Superviser le programme ou les politiques du programme ou de l'organisation concernant la participation des participants, les exigences du programme et les avantages sociaux. Les travaux peuvent impliquer de diriger des travailleurs sociaux, des conseillers ou des agents de probation.",Professions de gestion
Emergency Management Directors,4,"Plan and direct disaster response or crisis management activities, provide disaster preparedness training, and prepare emergency plans and procedures for natural (e.g., hurricanes, floods, earthquakes), wartime, or technological (e.g., nuclear power plant emergencies or hazardous materials spills) disasters or hostage situations.",Management Occupations,11-9161.00,Directeurs de gestion des urgences,"Planifier et directement les activités de gestion des catastrophes ou de gestion des crises, dispenser une formation sur la préparation aux catastrophes et préparer des plans et procédures d'urgence pour les catastrophes ou technologiques (par ex. ou des situations d'otages.",Professions de gestion
Funeral Home Managers,3,"Plan, direct, or coordinate the services or resources of funeral homes. Includes activities such as determining prices for services or merchandise and managing the facilities of funeral homes.",Management Occupations,11-9171.00,Gestionnaires de salon funéraire,"Planifier, diriger ou coordonner les services ou les ressources des salons funéraires. Comprend des activités telles que la détermination des prix des services ou des marchandises et la gestion des installations des salons funéraires.",Professions de gestion
Fitness and Wellness Coordinators,4,"Manage or coordinate fitness and wellness programs and services. Manage and train staff of wellness specialists, health educators, or fitness instructors.",Management Occupations,11-9179.01,Coordinateurs de fitness et de bien-être,"Gérer ou coordonner les programmes et services de fitness et de bien-être. Gérer et former le personnel des spécialistes du bien-être, des éducateurs en santé ou des instructeurs de fitness.",Professions de gestion
Spa Managers,3,"Plan, direct, or coordinate activities of a spa facility. Coordinate programs, schedule and direct staff, and oversee financial activities.",Management Occupations,11-9179.02,Gestionnaires de spa,"Planifier, directement ou coordonner les activités d'une installation de spa. Coordonner les programmes, le calendrier et le personnel direct, et superviser les activités financières.",Professions de gestion
Regulatory Affairs Managers,4,"Plan, direct, or coordinate production activities of an organization to ensure compliance with regulations and standard operating procedures.",Management Occupations,11-9199.01,Gestionnaires des affaires réglementaires,"Planifier, directement ou coordonner les activités de production d'une organisation pour garantir la conformité aux réglementations et aux procédures opérationnelles standard.",Professions de gestion
Compliance Managers,4,"Plan, direct, or coordinate activities of an organization to ensure compliance with ethical or regulatory standards.",Management Occupations,11-9199.02,Gestionnaires de conformité,"Planifier, directement ou coordonner les activités d'une organisation pour assurer la conformité aux normes éthiques ou réglementaires.",Professions de gestion
Loss Prevention Managers,4,"Plan and direct policies, procedures, or systems to prevent the loss of assets. Determine risk exposure or potential liability, and develop risk control measures.",Management Occupations,11-9199.08,Gestionnaires de la prévention des pertes,"Planifier et directement des politiques, procédures ou systèmes pour empêcher la perte d'actifs. Déterminez l'exposition aux risques ou la responsabilité potentielle et développez des mesures de contrôle des risques.",Professions de gestion
Wind Energy Operations Managers,3,"Manage wind field operations, including personnel, maintenance activities, financial activities, and planning.",Management Occupations,11-9199.09,Gestionnaires des opérations d'énergie éolienne,"Gérer les opérations du terrain éoliennes, y compris le personnel, les activités d'entretien, les activités financières et la planification.",Professions de gestion
Wind Energy Development Managers,4,"Lead or manage the development and evaluation of potential wind energy business opportunities, including environmental studies, permitting, and proposals. May also manage construction of projects.",Management Occupations,11-9199.10,Gestionnaires du développement de l'énergie éolienne,"Diriger ou gérer le développement et l'évaluation des opportunités commerciales potentielles de l'énergie éolienne, y compris les études environnementales, les permis et les propositions. Peut également gérer la construction de projets.",Professions de gestion
Brownfield Redevelopment Specialists and Site Managers,4,Plan and direct cleanup and redevelopment of contaminated properties for reuse. Does not include properties sufficiently contaminated to qualify as Superfund sites.,Management Occupations,11-9199.11,Spécialistes et gestionnaires de sites de réaménagement des friandises,Planifier et nettoyer directement et réaménagement des propriétés contaminées pour la réutilisation. N'inclut pas les propriétés suffisamment contaminées pour être qualifiées de sites Superfund.,Professions de gestion
"Agents and Business Managers of Artists, Performers, and Athletes",4,"Represent and promote artists, performers, and athletes in dealings with current or prospective employers. May handle contract negotiation and other business matters for clients.",Business and Financial Operations Occupations,13-1011.00,"Agents et chefs d'entreprise d'artistes, d'artistes et d'athlètes","Représenter et promouvoir des artistes, des artistes et des athlètes dans les relations avec les employeurs actuels ou potentiels. Peut gérer la négociation contractuelle et d'autres affaires commerciales pour les clients.",Professions commerciales et financières
"Buyers and Purchasing Agents, Farm Products",4,"Purchase farm products either for further processing or resale. Includes tree farm contractors, grain brokers and market operators, grain buyers, and tobacco buyers. May negotiate contracts.",Business and Financial Operations Occupations,13-1021.00,"Acheteurs et agents d'achat, produits agricoles","Achetez des produits agricoles pour un traitement ou une revente ultérieure. Comprend des entrepreneurs de ferme d'arbres, des courtiers en céréales et des opérateurs de marché, des acheteurs de céréales et des acheteurs de tabac. Peut négocier des contrats.",Professions commerciales et financières
"Wholesale and Retail Buyers, Except Farm Products",3,"Buy merchandise or commodities, other than farm products, for resale to consumers at the wholesale or retail level, including both durable and nondurable goods. Analyze past buying trends, sales records, price, and quality of merchandise to determine value and yield. Select, order, and authorize payment for merchandise according to contractual agreements. May conduct meetings with sales personnel and introduce new products. May negotiate contracts. Includes assistant wholesale and retail buyers of nonfarm products.",Business and Financial Operations Occupations,13-1022.00,"Acheteurs de gros et de vente au détail, à l'exception des produits agricoles","Achetez des marchandises ou des produits de base, autres que les produits agricoles, pour la revente aux consommateurs au niveau du gros ou de la vente au détail, y compris les biens durables et non viables. Analyser les tendances d'achat passées, les dossiers de vente, le prix et la qualité des marchandises pour déterminer la valeur et le rendement. Sélectionnez, commandez et autorisez le paiement des marchandises en fonction des accords contractuels. Peut effectuer des réunions avec le personnel de vente et introduire de nouveaux produits. Peut négocier des contrats. Comprend des acheteurs adjoints en gros et au détail de produits non agricoles.",Professions commerciales et financières
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",4,"Purchase machinery, equipment, tools, parts, supplies, or services necessary for the operation of an establishment. Purchase raw or semifinished materials for manufacturing. May negotiate contracts.",Business and Financial Operations Occupations,13-1023.00,"Agents d'achat, sauf les produits de gros, de vente au détail et agricoles","Achetez des machines, de l'équipement, des outils, des pièces, des fournitures ou des services nécessaires au fonctionnement d'un établissement. Achetez des matériaux bruts ou semi-finis pour la fabrication. Peut négocier des contrats.",Professions commerciales et financières
"Claims Adjusters, Examiners, and Investigators",4,Review settled claims to determine that payments and settlements are made in accordance with company practices and procedures. Confer with legal counsel on claims requiring litigation. May also settle insurance claims.,Business and Financial Operations Occupations,13-1031.00,Réclame les experts en fonction des experts,L'examen des allégations de règlement pour déterminer que les paiements et les règlements sont effectués conformément aux pratiques et procédures de l'entreprise. Concevoir avec des conseils juridiques aux réclamations exigeant un litige. Peut également régler les réclamations d'assurance.,Professions commerciales et financières
"Insurance Appraisers, Auto Damage",3,Appraise automobile or other vehicle damage to determine repair costs for insurance claim settlement. Prepare insurance forms to indicate repair cost or cost estimates and recommendations. May seek agreement with automotive repair shop on repair costs.,Business and Financial Operations Occupations,13-1032.00,"Évaluateurs d'assurance, dommages automatiques",Évaluer l'automobile ou d'autres dommages causés par le véhicule pour déterminer les frais de réparation pour le règlement des réclamations d'assurance. Préparez les formulaires d'assurance pour indiquer des estimations et recommandations de coûts de réparation ou de coûts. Peut demander un accord avec l'atelier de réparation automobile sur les frais de réparation.,Professions commerciales et financières
Compliance Officers,3,"Examine, evaluate, and investigate eligibility for or conformity with laws and regulations governing contract compliance of licenses and permits, and perform other compliance and enforcement inspection and analysis activities not classified elsewhere.",Business and Financial Operations Occupations,13-1041.00,Officiers de conformité,"Examiner, évaluer et enquêter sur l'admissibilité ou la conformité avec les lois et réglementations régissant la conformité contractuelle des licences et permis, et effectuez d'autres activités d'inspection et d'analyse de la conformité et de l'application non classées ailleurs.",Professions commerciales et financières
Environmental Compliance Inspectors,4,"Inspect and investigate sources of pollution to protect the public and environment and ensure conformance with Federal, State, and local regulations and ordinances.",Business and Financial Operations Occupations,13-1041.01,Inspecteurs de la conformité environnementale,"Inspectez et enquêter sur des sources de pollution pour protéger le public et l'environnement et assurer la conformité aux réglementations et ordonnances fédérales, étatiques et locales.",Professions commerciales et financières
Equal Opportunity Representatives and Officers,4,"Monitor and evaluate compliance with equal opportunity laws, guidelines, and policies to ensure that employment practices and contracting arrangements give equal opportunity without regard to race, religion, color, national origin, sex, age, or disability.",Business and Financial Operations Occupations,13-1041.03,Représentants et officiers de l'égalité des chances,"Surveillez et évaluez le respect des lois, des directives et des politiques de l'égalité des chances pour garantir que les pratiques d'emploi et les accords contractuels donnent l'égalité des chances sans égard à la race, à la religion, à la couleur, à l'origine nationale, au sexe, à l'âge ou au handicap.",Professions commerciales et financières
Government Property Inspectors and Investigators,3,Investigate or inspect government property to ensure compliance with contract agreements and government regulations.,Business and Financial Operations Occupations,13-1041.04,Inspecteurs et enquêteurs du gouvernement,Enquêter ou inspecter les biens du gouvernement pour garantir le respect des accords contractuels et des réglementations gouvernementales.,Professions commerciales et financières
Coroners,3,"Direct activities such as autopsies, pathological and toxicological analyses, and inquests relating to the investigation of deaths occurring within a legal jurisdiction to determine cause of death or to fix responsibility for accidental, violent, or unexplained deaths.",Business and Financial Operations Occupations,13-1041.06,Coroners,"Des activités directes telles que les autopsies, les analyses pathologiques et toxicologiques et les enquêtes relatives à l'enquête sur les décès se produisant dans une juridiction légale pour déterminer la cause du décès ou pour fixer la responsabilité des décès accidentels, violents ou inexpliqués.",Professions commerciales et financières
Regulatory Affairs Specialists,4,"Coordinate and document internal regulatory processes, such as internal audits, inspections, license renewals, or registrations. May compile and prepare materials for submission to regulatory agencies.",Business and Financial Operations Occupations,13-1041.07,Spécialistes des affaires réglementaires,"Coordonner et documenter les processus réglementaires internes, tels que les audits internes, les inspections, les renouvellements de licences ou les inscriptions. Peut compiler et préparer des matériaux pour la soumission aux agences de réglementation.",Professions commerciales et financières
