,O*NET-SOC Code,Title,Job Zone,Date,Domain Source,Description,Domain
10,11-3013.00,Facilities Managers,3,Nov-21,Analyst - Preliminary,"Plan, direct, or coordinate operations and functionalities of facilities and buildings. May include surrounding grounds or multiple facilities of an organization's campus.",Management Occupations
11,11-3013.01,Security Managers,4,Nov-21,Analyst - Preliminary,"Direct an organization's security functions, including physical security and safety of employees and facilities.",Management Occupations
12,11-3021.00,Computer and Information Systems Managers,4,Jul-16,Analyst,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.",Management Occupations
13,11-3031.00,Financial Managers,4,Aug-22,Analyst,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.",Management Occupations
14,11-3031.01,Treasurers and Controllers,4,Aug-20,Analyst,"Direct financial activities, such as planning, procurement, and investments for all or part of an organization.",Management Occupations
15,11-3031.03,Investment Fund Managers,5,Jul-14,Analyst,"Plan, direct, or coordinate investment strategy or operations for a large pool of liquid assets supplied by institutional investors or individual investors.",Management Occupations
16,11-3051.00,Industrial Production Managers,4,Aug-21,Analyst,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.",Management Occupations
17,11-3051.01,Quality Control Systems Managers,4,Aug-22,Analyst,"Plan, direct, or coordinate quality assurance programs. Formulate quality control policies and control quality of laboratory and production efforts.",Management Occupations
18,11-3051.02,Geothermal Production Managers,3,Jul-11,Analyst,Manage operations at geothermal power generation facilities. Maintain and monitor geothermal plant equipment for efficient and safe plant operations.,Management Occupations
19,11-3051.03,Biofuels Production Managers,4,Jul-16,Analyst,"Manage biofuels production and plant operations. Collect and process information on plant production and performance, diagnose problems, and design corrective procedures.",Management Occupations
20,11-3051.04,Biomass Power Plant Managers,4,Aug-20,Analyst,"Manage operations at biomass power generation facilities. Direct work activities at plant, including supervision of operations and maintenance staff.",Management Occupations
21,11-3051.06,Hydroelectric Production Managers,3,Jul-16,Analyst,Manage operations at hydroelectric power generation facilities. Maintain and monitor hydroelectric plant equipment for efficient and safe plant operations.,Management Occupations
22,11-3061.00,Purchasing Managers,4,Aug-18,Analyst,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers.",Management Occupations
23,11-3071.00,"Transportation, Storage, and Distribution Managers",4,Nov-20,Analyst - Transition,"Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations. Includes logistics managers.",Management Occupations
24,11-3071.04,Supply Chain Managers,4,Jul-17,Analyst,"Direct or coordinate production, purchasing, warehousing, distribution, or financial forecasting services or activities to limit costs and improve accuracy, customer service, or safety. Examine existing procedures or opportunities for streamlining activities to meet product distribution needs. Direct the movement, storage, or processing of inventory.",Management Occupations
25,11-3111.00,Compensation and Benefits Managers,4,Jul-17,Analyst,"Plan, direct, or coordinate compensation and benefits activities of an organization.",Management Occupations
26,11-3121.00,Human Resources Managers,4,Aug-18,Analyst,"Plan, direct, or coordinate human resources activities and staff of an organization.",Management Occupations
27,11-3131.00,Training and Development Managers,4,Jul-17,Analyst,"Plan, direct, or coordinate the training and development activities and staff of an organization.",Management Occupations
28,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",4,Nov-20,Analyst - Transition,"Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities.",Management Occupations
29,11-9021.00,Construction Managers,4,Aug-20,Analyst,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing.",Management Occupations
30,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",4,Aug-18,Analyst,"Plan, direct, or coordinate academic or nonacademic activities of preschools or childcare centers and programs, including before- and after-school care.",Management Occupations
31,11-9032.00,"Education Administrators, Kindergarten through Secondary",5,Aug-18,Analyst,"Plan, direct, or coordinate the academic, administrative, or auxiliary activities of kindergarten, elementary, or secondary schools.",Management Occupations
32,11-9033.00,"Education Administrators, Postsecondary",5,Aug-18,Analyst,"Plan, direct, or coordinate student instruction, administration, and services, as well as other research and educational activities, at postsecondary institutions, including universities, colleges, and junior and community colleges.",Management Occupations
33,11-9041.00,Architectural and Engineering Managers,5,Aug-20,Analyst,"Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields.",Management Occupations
34,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,4,Jul-14,Analyst,"Define, plan, or execute biofuels/biodiesel research programs that evaluate alternative feedstock and process technologies with near-term commercial potential.",Management Occupations
35,11-9051.00,Food Service Managers,2,Jul-17,Analyst,"Plan, direct, or coordinate activities of an organization or department that serves food and beverages.",Management Occupations
36,11-9071.00,Gambling Managers,3,Jul-14,Analyst,"Plan, direct, or coordinate gambling operations in a casino. May formulate house rules.",Management Occupations
37,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",4,Nov-21,Analyst - Preliminary,"Plan, direct, or coordinate entertainment and recreational activities and operations of a recreational facility, including cruise ships and parks.",Management Occupations
38,11-9081.00,Lodging Managers,4,Jul-17,Analyst,"Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations.",Management Occupations
39,11-9111.00,Medical and Health Services Managers,4,Aug-22,Analyst,"Plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations.",Management Occupations
40,11-9121.00,Natural Sciences Managers,5,Aug-21,Analyst,"Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields.",Management Occupations
41,11-9121.01,Clinical Research Coordinators,4,Aug-21,Analyst,"Plan, direct, or coordinate clinical research projects. Direct the activities of workers engaged in clinical research projects to ensure compliance with protocols and overall clinical objectives. May evaluate and analyze clinical data.",Management Occupations
42,11-9121.02,Water Resource Specialists,4,Aug-20,Analyst,"Design or implement programs and strategies related to water resource issues such as supply, quality, and regulatory compliance issues.",Management Occupations
43,11-9131.00,Postmasters and Mail Superintendents,2,Jul-16,Analyst,"Plan, direct, or coordinate operational, administrative, management, and support services of a U.S. post office; or coordinate activities of workers engaged in postal and related work in assigned post office.",Management Occupations
44,11-9141.00,"Property, Real Estate, and Community Association Managers",4,Aug-20,Analyst,"Plan, direct, or coordinate the selling, buying, leasing, or governance activities of commercial, industrial, or residential real estate properties. Includes managers of homeowner and condominium associations, rented or leased housing units, buildings, or land (including rights-of-way).",Management Occupations
45,11-9151.00,Social and Community Service Managers,4,Aug-18,Analyst,"Plan, direct, or coordinate the activities of a social service program or community outreach organization. Oversee the program or organization's budget and policies regarding participant involvement, program requirements, and benefits. Work may involve directing social workers, counselors, or probation officers.",Management Occupations
46,11-9161.00,Emergency Management Directors,4,Jul-17,Analyst,"Plan and direct disaster response or crisis management activities, provide disaster preparedness training, and prepare emergency plans and procedures for natural (e.g., hurricanes, floods, earthquakes), wartime, or technological (e.g., nuclear power plant emergencies or hazardous materials spills) disasters or hostage situations.",Management Occupations
47,11-9171.00,Funeral Home Managers,3,Jul-14,Analyst,"Plan, direct, or coordinate the services or resources of funeral homes. Includes activities such as determining prices for services or merchandise and managing the facilities of funeral homes.",Management Occupations
48,11-9179.01,Fitness and Wellness Coordinators,4,Aug-22,Analyst,"Manage or coordinate fitness and wellness programs and services. Manage and train staff of wellness specialists, health educators, or fitness instructors.",Management Occupations
49,11-9179.02,Spa Managers,3,Jul-12,Analyst,"Plan, direct, or coordinate activities of a spa facility. Coordinate programs, schedule and direct staff, and oversee financial activities.",Management Occupations
50,11-9199.01,Regulatory Affairs Managers,4,Aug-19,Analyst,"Plan, direct, or coordinate production activities of an organization to ensure compliance with regulations and standard operating procedures.",Management Occupations
51,11-9199.02,Compliance Managers,4,Aug-19,Analyst,"Plan, direct, or coordinate activities of an organization to ensure compliance with ethical or regulatory standards.",Management Occupations
52,11-9199.08,Loss Prevention Managers,4,Aug-19,Analyst,"Plan and direct policies, procedures, or systems to prevent the loss of assets. Determine risk exposure or potential liability, and develop risk control measures.",Management Occupations
53,11-9199.09,Wind Energy Operations Managers,3,Aug-21,Analyst,"Manage wind field operations, including personnel, maintenance activities, financial activities, and planning.",Management Occupations
54,11-9199.10,Wind Energy Development Managers,4,Jul-16,Analyst,"Lead or manage the development and evaluation of potential wind energy business opportunities, including environmental studies, permitting, and proposals. May also manage construction of projects.",Management Occupations
55,11-9199.11,Brownfield Redevelopment Specialists and Site Managers,4,Aug-21,Analyst,Plan and direct cleanup and redevelopment of contaminated properties for reuse. Does not include properties sufficiently contaminated to qualify as Superfund sites.,Management Occupations
56,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",4,Aug-20,Analyst,"Represent and promote artists, performers, and athletes in dealings with current or prospective employers. May handle contract negotiation and other business matters for clients.",Business and Financial Operations Occupations
57,13-1021.00,"Buyers and Purchasing Agents, Farm Products",4,Jul-13,Analyst,"Purchase farm products either for further processing or resale. Includes tree farm contractors, grain brokers and market operators, grain buyers, and tobacco buyers. May negotiate contracts.",Business and Financial Operations Occupations
58,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",3,Jul-15,Analyst,"Buy merchandise or commodities, other than farm products, for resale to consumers at the wholesale or retail level, including both durable and nondurable goods. Analyze past buying trends, sales records, price, and quality of merchandise to determine value and yield. Select, order, and authorize payment for merchandise according to contractual agreements. May conduct meetings with sales personnel and introduce new products. May negotiate contracts. Includes assistant wholesale and retail buyers of nonfarm products.",Business and Financial Operations Occupations
59,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",4,Aug-19,Analyst,"Purchase machinery, equipment, tools, parts, supplies, or services necessary for the operation of an establishment. Purchase raw or semifinished materials for manufacturing. May negotiate contracts.",Business and Financial Operations Occupations
60,13-1031.00,"Claims Adjusters, Examiners, and Investigators",4,Aug-22,Analyst,Review settled claims to determine that payments and settlements are made in accordance with company practices and procedures. Confer with legal counsel on claims requiring litigation. May also settle insurance claims.,Business and Financial Operations Occupations
61,13-1032.00,"Insurance Appraisers, Auto Damage",3,Jul-16,Analyst,Appraise automobile or other vehicle damage to determine repair costs for insurance claim settlement. Prepare insurance forms to indicate repair cost or cost estimates and recommendations. May seek agreement with automotive repair shop on repair costs.,Business and Financial Operations Occupations
62,13-1041.00,Compliance Officers,3,Nov-20,Analyst - Transition,"Examine, evaluate, and investigate eligibility for or conformity with laws and regulations governing contract compliance of licenses and permits, and perform other compliance and enforcement inspection and analysis activities not classified elsewhere.",Business and Financial Operations Occupations
63,13-1041.01,Environmental Compliance Inspectors,4,Aug-21,Analyst,"Inspect and investigate sources of pollution to protect the public and environment and ensure conformance with Federal, State, and local regulations and ordinances.",Business and Financial Operations Occupations
64,13-1041.03,Equal Opportunity Representatives and Officers,4,Jul-15,Analyst,"Monitor and evaluate compliance with equal opportunity laws, guidelines, and policies to ensure that employment practices and contracting arrangements give equal opportunity without regard to race, religion, color, national origin, sex, age, or disability.",Business and Financial Operations Occupations
65,13-1041.04,Government Property Inspectors and Investigators,3,Jul-16,Analyst,Investigate or inspect government property to ensure compliance with contract agreements and government regulations.,Business and Financial Operations Occupations
66,13-1041.06,Coroners,3,Aug-20,Analyst,"Direct activities such as autopsies, pathological and toxicological analyses, and inquests relating to the investigation of deaths occurring within a legal jurisdiction to determine cause of death or to fix responsibility for accidental, violent, or unexplained deaths.",Business and Financial Operations Occupations
67,13-1041.07,Regulatory Affairs Specialists,4,Aug-19,Analyst,"Coordinate and document internal regulatory processes, such as internal audits, inspections, license renewals, or registrations. May compile and prepare materials for submission to regulatory agencies.",Business and Financial Operations Occupations
68,13-1041.08,Customs Brokers,3,Jul-17,Analyst,Prepare customs documentation and ensure that shipments meet all applicable laws to facilitate the import and export of goods. Determine and track duties and taxes payable and process payments on behalf of client. Sign documents under a power of attorney. Represent clients in meetings with customs officials and apply for duty refunds and tariff reclassifications. Coordinate transportation and storage of imported goods.,Business and Financial Operations Occupations
69,13-1051.00,Cost Estimators,4,Jul-16,Analyst,"Prepare cost estimates for product manufacturing, construction projects, or services to aid management in bidding on or determining price of product or service. May specialize according to particular service performed or type of product manufactured.",Business and Financial Operations Occupations
70,13-1071.00,Human Resources Specialists,4,Aug-19,Analyst,"Recruit, screen, interview, or place individuals within an organization. May perform other activities in multiple human resources areas.",Business and Financial Operations Occupations
71,13-1074.00,Farm Labor Contractors,2,Jun-08,Analyst,"Recruit and hire seasonal or temporary agricultural laborers. May transport, house, and provide meals for workers.",Business and Financial Operations Occupations
72,13-1075.00,Labor Relations Specialists,4,Jul-15,Analyst,"Resolve disputes between workers and managers, negotiate collective bargaining agreements, or coordinate grievance procedures to handle employee complaints.",Business and Financial Operations Occupations
73,13-1081.00,Logisticians,4,Jul-16,Analyst,"Analyze and coordinate the ongoing logistical functions of a firm or organization. Responsible for the entire life cycle of a product, including acquisition, distribution, internal allocation, delivery, and final disposal of resources.",Business and Financial Operations Occupations
74,13-1081.01,Logistics Engineers,4,Aug-20,Analyst,"Design or analyze operational solutions for projects such as transportation optimization, network modeling, process and methods analysis, cost containment, capacity enhancement, routing and shipment optimization, or information management.",Business and Financial Operations Occupations
75,13-1081.02,Logistics Analysts,4,Aug-20,Analyst,"Analyze product delivery or supply chain processes to identify or recommend changes. May manage route activity including invoicing, electronic bills, and shipment tracing.",Business and Financial Operations Occupations
76,13-1082.00,Project Management Specialists,4,Nov-21,Analyst - Preliminary,"Analyze and coordinate the schedule, timeline, procurement, staffing, and budget of a product or service on a per project basis. Lead and guide the work of technical staff. May serve as a point of contact for the client or customer.",Business and Financial Operations Occupations
77,13-1111.00,Management Analysts,4,Aug-22,Analyst,"Conduct organizational studies and evaluations, design systems and procedures, conduct work simplification and measurement studies, and prepare operations and procedures manuals to assist management in operating more efficiently and effectively. Includes program analysts and management consultants.",Business and Financial Operations Occupations
78,13-1121.00,"Meeting, Convention, and Event Planners",4,Jul-16,Analyst,"Coordinate activities of staff, convention personnel, or clients to make arrangements for group meetings, events, or conventions.",Business and Financial Operations Occupations
79,13-1131.00,Fundraisers,4,Aug-21,Analyst,"Organize activities to raise funds or otherwise solicit and gather monetary donations or other gifts for an organization. May design and produce promotional materials. May also raise awareness of the organization's work, goals, and financial needs.",Business and Financial Operations Occupations
80,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",4,Jul-17,Analyst,"Conduct programs of compensation and benefits and job analysis for employer. May specialize in specific areas, such as position classification and pension programs.",Business and Financial Operations Occupations
81,13-1151.00,Training and Development Specialists,4,Aug-22,Analyst,Design or conduct work-related training and development programs to improve individual skills or organizational performance. May analyze organizational training needs or evaluate training effectiveness.,Business and Financial Operations Occupations
82,13-1161.00,Market Research Analysts and Marketing Specialists,4,Aug-18,Analyst,"Research conditions in local, regional, national, or online markets. Gather information to determine potential sales of a product or service, or plan a marketing or advertising campaign. May gather information on competitors, prices, sales, and methods of marketing and distribution. May employ search marketing tactics, analyze web metrics, and develop recommendations to increase search engine ranking and visibility to target markets.",Business and Financial Operations Occupations
83,13-1161.01,Search Marketing Strategists,4,Aug-21,Analyst,"Employ search marketing tactics to increase visibility and engagement with content, products, or services in Internet-enabled devices or interfaces. Examine search query behaviors on general or specialty search engines or other Internet-based content. Analyze research, data, or technology to understand user intent and measure outcomes for ongoing optimization.",Business and Financial Operations Occupations
84,13-1199.04,Business Continuity Planners,4,Aug-18,Analyst,"Develop, maintain, or implement business continuity and disaster recovery strategies and solutions, including risk assessments, business impact analyses, strategy selection, and documentation of business continuity and disaster recovery procedures. Plan, conduct, and debrief regular mock-disaster exercises to test the adequacy of existing plans and strategies, updating procedures and plans regularly. Act as a coordinator for continuity efforts after a disruption event.",Business and Financial Operations Occupations
85,13-1199.05,Sustainability Specialists,4,Aug-20,Analyst,"Address organizational sustainability issues, such as waste stream management, green building practices, and green procurement plans.",Business and Financial Operations Occupations
86,13-1199.06,Online Merchants,4,Jul-14,Analyst,"Conduct retail activities of businesses operating exclusively online. May perform duties such as preparing business strategies, buying merchandise, managing inventory, implementing marketing activities, fulfilling and shipping online orders, and balancing financial records.",Business and Financial Operations Occupations
87,13-1199.07,Security Management Specialists,4,Nov-21,Analyst - Preliminary,"Conduct security assessments for organizations, and design security systems and processes. May specialize in areas such as physical security or the safety of employees and facilities.",Business and Financial Operations Occupations
88,13-2011.00,Accountants and Auditors,4,Nov-20,Analyst - Transition,"Examine, analyze, and interpret accounting records to prepare financial statements, give advice, or audit and evaluate statements prepared by others. Install or advise on systems of recording costs or other financial and budgetary data.",Business and Financial Operations Occupations
89,13-2022.00,Appraisers of Personal and Business Property,4,Nov-21,Analyst - Preliminary,"Appraise and estimate the fair value of tangible personal or business property, such as jewelry, art, antiques, collectibles, and equipment. May also appraise land.",Business and Financial Operations Occupations
90,13-2023.00,Appraisers and Assessors of Real Estate,4,Nov-20,Analyst - Transition,"Appraise real estate, exclusively, and estimate its fair value. May assess taxes in accordance with prescribed schedules.",Business and Financial Operations Occupations
91,13-2031.00,Budget Analysts,4,Jul-16,Analyst,"Examine budget estimates for completeness, accuracy, and conformance with procedures and regulations. Analyze budgeting and accounting reports.",Business and Financial Operations Occupations
92,13-2041.00,Credit Analysts,4,Aug-20,Analyst,Analyze credit data and financial statements of individuals or firms to determine the degree of risk involved in extending credit or lending money. Prepare reports with credit information for use in decisionmaking.,Business and Financial Operations Occupations
93,13-2051.00,Financial and Investment Analysts,4,Nov-21,Analyst - Preliminary,"Conduct quantitative analyses of information involving investment programs or financial data of public or private institutions, including valuation of businesses.",Business and Financial Operations Occupations
94,13-2052.00,Personal Financial Advisors,4,Aug-20,Analyst,"Advise clients on financial plans using knowledge of tax and investment strategies, securities, insurance, pension plans, and real estate. Duties include assessing clients' assets, liabilities, cash flow, insurance coverage, tax status, and financial objectives. May also buy and sell financial assets for clients.",Business and Financial Operations Occupations
95,13-2053.00,Insurance Underwriters,4,Aug-18,Analyst,Review individual applications for insurance to evaluate degree of risk involved and determine acceptance of applications.,Business and Financial Operations Occupations
96,13-2054.00,Financial Risk Specialists,4,Nov-21,Analyst - Preliminary,"Analyze and measure exposure to credit and market risk threatening the assets, earning capacity, or economic state of an organization. May make recommendations to limit risk.",Business and Financial Operations Occupations
97,13-2061.00,Financial Examiners,4,Aug-20,Analyst,"Enforce or ensure compliance with laws and regulations governing financial and securities institutions and financial and real estate transactions. May examine, verify, or authenticate records.",Business and Financial Operations Occupations
98,13-2071.00,Credit Counselors,4,Aug-20,Analyst,"Advise and educate individuals or organizations on acquiring and managing debt. May provide guidance in determining the best type of loan and explain loan requirements or restrictions. May help develop debt management plans or student financial aid packages. May advise on credit issues, or provide budget, mortgage, bankruptcy, or student financial aid counseling.",Business and Financial Operations Occupations
99,13-2072.00,Loan Officers,4,Aug-20,Analyst,"Evaluate, authorize, or recommend approval of commercial, real estate, or credit loans. Advise borrowers on financial status and payment methods. Includes mortgage loan officers and agents, collection analysts, loan servicing officers, loan underwriters, and payday loan officers.",Business and Financial Operations Occupations
100,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",3,Aug-22,Analyst,Determine tax liability or collect taxes from individuals or business firms according to prescribed laws and regulations.,Business and Financial Operations Occupations
101,13-2082.00,Tax Preparers,3,Aug-20,Analyst,Prepare tax returns for individuals or small businesses.,Business and Financial Operations Occupations
102,13-2099.01,Financial Quantitative Analysts,5,Jul-17,Analyst,"Develop quantitative techniques to inform securities investing, equities investing, pricing, or valuation of financial instruments. Develop mathematical or statistical models for risk management, asset optimization, pricing, or relative value analysis.",Business and Financial Operations Occupations
103,13-2099.04,"Fraud Examiners, Investigators and Analysts",4,Jul-17,Analyst,"Obtain evidence, take statements, produce reports, and testify to findings regarding resolution of fraud allegations. May coordinate fraud detection and prevention activities.",Business and Financial Operations Occupations
104,15-1211.00,Computer Systems Analysts,4,Jul-17,Analyst,"Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review computer system capabilities, workflow, and schedule limitations. May analyze or recommend commercially available software.",Computer and Mathematical Occupations
105,15-1211.01,Health Informatics Specialists,4,Aug-19,Analyst,"Apply knowledge of nursing and informatics to assist in the design, development, and ongoing modification of computerized health care systems. May educate staff and assist in problem solving to promote the implementation of the health care system.",Computer and Mathematical Occupations
106,15-1212.00,Information Security Analysts,4,Aug-18,Analyst,"Plan, implement, upgrade, or monitor security measures for the protection of computer networks and information. Assess system vulnerabilities for security risks and propose and implement risk mitigation strategies. May ensure appropriate security controls are in place that will safeguard digital files and vital electronic infrastructure. May respond to computer security breaches and viruses.",Computer and Mathematical Occupations
107,15-1221.00,Computer and Information Research Scientists,5,Aug-19,Analyst,"Conduct research into fundamental computer and information science as theorists, designers, or inventors. Develop solutions to problems in the field of computer hardware and software.",Computer and Mathematical Occupations
108,15-1231.00,Computer Network Support Specialists,4,Jul-14,Analyst,"Analyze, test, troubleshoot, and evaluate existing network systems, such as local area networks (LAN), wide area networks (WAN), cloud networks, servers, and other data communications networks. Perform network maintenance to ensure networks operate correctly with minimal interruption.",Computer and Mathematical Occupations
109,15-1232.00,Computer User Support Specialists,3,Jul-17,Analyst,"Provide technical assistance to computer users. Answer questions or resolve computer problems for clients in person, via telephone, or electronically. May provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and operating systems.",Computer and Mathematical Occupations
110,15-1241.00,Computer Network Architects,4,Aug-18,Analyst,"Design and implement computer and information networks, such as local area networks (LAN), wide area networks (WAN), intranets, extranets, and other data communications networks. Perform network modeling, analysis, and planning, including analysis of capacity needs for network infrastructures. May also design network and computer security measures. May research and recommend network and data communications hardware and software.",Computer and Mathematical Occupations
111,15-1241.01,Telecommunications Engineering Specialists,3,Aug-20,Analyst,"Design or configure wired, wireless, and satellite communications systems for voice, video, and data services. Supervise installation, service, and maintenance.",Computer and Mathematical Occupations
112,15-1242.00,Database Administrators,4,Jul-16,Analyst,"Administer, test, and implement computer databases, applying knowledge of database management systems. Coordinate changes to computer databases. Identify, investigate, and resolve database performance issues, database capacity, and database scalability. May plan, coordinate, and implement security measures to safeguard computer databases.",Computer and Mathematical Occupations
113,15-1243.00,Database Architects,4,Jul-15,Analyst,"Design strategies for enterprise databases, data warehouse systems, and multidimensional networks. Set standards for database operations, programming, query processes, and security. Model, design, and construct large relational databases or data warehouses. Create and optimize data models for warehouse infrastructure and workflow. Integrate new systems with existing warehouse structure and refine system performance and functionality.",Computer and Mathematical Occupations
114,15-1243.01,Data Warehousing Specialists,4,Aug-18,Analyst,"Design, model, or implement corporate data warehousing activities. Program and configure warehouses of database information and provide support to warehouse users.",Computer and Mathematical Occupations
115,15-1244.00,Network and Computer Systems Administrators,4,Jul-17,Analyst,"Install, configure, and maintain an organization's local area network (LAN), wide area network (WAN), data communications network, operating systems, and physical and virtual servers. Perform system monitoring and verify the integrity and availability of hardware, network, and server resources and systems. Review system and application logs and verify completion of scheduled jobs, including system backups. Analyze network and server resource consumption and control user access. Install and upgrade software and maintain software licenses. May assist in network modeling, analysis, planning, and coordination between network and data communications hardware and software.",Computer and Mathematical Occupations
116,15-1251.00,Computer Programmers,4,Aug-18,Analyst,"Create, modify, and test the code and scripts that allow computer applications to run. Work from specifications drawn up by software and web developers or other individuals. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information.",Computer and Mathematical Occupations
117,15-1252.00,Software Developers,4,Nov-21,Analyst - Preliminary,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.",Computer and Mathematical Occupations
118,15-1253.00,Software Quality Assurance Analysts and Testers,4,Aug-22,Analyst,"Develop and execute software tests to identify software problems and their causes. Test system modifications to prepare for implementation. Document software and application defects using a bug tracking system and report defects to software or web developers. Create and maintain databases of known defects. May participate in software design reviews to provide input on functional requirements, operational characteristics, product designs, and schedules.",Computer and Mathematical Occupations
119,15-1254.00,Web Developers,3,Jul-17,Analyst,"Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is properly structured, meets industry standards, and is compatible with browsers and devices. Optimize website performance, scalability, and server-side code and processes. May develop website infrastructure and integrate websites with other computer applications.",Computer and Mathematical Occupations
120,15-1255.00,Web and Digital Interface Designers,4,Nov-21,Analyst - Preliminary,"Design digital user interfaces or websites. Develop and test layouts, interfaces, functionality, and navigation menus to ensure compatibility and usability across browsers or devices. May use web framework applications as well as client-side code and processes. May evaluate web design following web and accessibility standards, and may analyze web use metrics and optimize websites for marketability and search engine ranking. May design and test interfaces that facilitate the human-computer interaction and maximize the usability of digital devices, websites, and software with a focus on aesthetics and design. May create graphics used in websites and manage website content and links.",Computer and Mathematical Occupations
121,15-1255.01,Video Game Designers,4,Aug-22,Analyst,"Design core features of video games. Specify innovative game and role-play mechanics, story lines, and character biographies. Create and maintain design documentation. Guide and collaborate with production staff to produce games as designed.",Computer and Mathematical Occupations
